Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, August 07 08:30 AM",vfb stuttgart,rb leipzig,1 - 1,tie,home,1659879000,https://media-2.api-sports.io/football/teams/172.png
"Saturday, August 13 08:30 AM",vfb stuttgart,werder bremen,2 - 2,tie,away,1660397400,https://media-3.api-sports.io/football/teams/172.png
"Saturday, August 20 08:30 AM",vfb stuttgart,sc freiburg,1 - 0,L,home,1661002200,https://media-2.api-sports.io/football/teams/172.png
"Sunday, August 28 08:30 AM",vfb stuttgart,fc koln,0 - 0,tie,away,1661693400,https://media-3.api-sports.io/football/teams/172.png
"Saturday, September 03 08:30 AM",vfb stuttgart,fc schalke 04,1 - 1,tie,home,1662211800,https://media-2.api-sports.io/football/teams/172.png
"Saturday, September 10 08:30 AM",vfb stuttgart,bayern munich,2 - 2,tie,away,1662816600,https://media-2.api-sports.io/football/teams/172.png
"Saturday, September 17 08:30 AM",vfb stuttgart,eintracht frankfurt,3 - 1,L,home,1663421400,https://media-2.api-sports.io/football/teams/172.png
"Saturday, October 01 08:30 AM",vfb stuttgart,vfl wolfsburg,2 - 3,L,away,1664631000,https://media-2.api-sports.io/football/teams/172.png
"Sunday, October 09 12:30 PM",vfb stuttgart,union berlin,1 - 0,L,home,1665336600,https://media-2.api-sports.io/football/teams/172.png
"Saturday, October 15 08:30 AM",vfb stuttgart,vfl bochum,1 - 4,W,home,1665840600,https://media-1.api-sports.io/football/teams/172.png
"Saturday, October 22 08:30 AM",vfb stuttgart,borussia dortmund,0 - 5,L,away,1666445400,https://media-1.api-sports.io/football/teams/172.png
"Saturday, October 29 08:30 AM",vfb stuttgart,fc augsburg,1 - 2,W,home,1667050200,https://media-2.api-sports.io/football/teams/172.png
"Friday, November 04 02:30 PM",vfb stuttgart,borussia monchengladbach,1 - 3,L,away,1667590200,https://media-1.api-sports.io/football/teams/172.png
"Tuesday, November 08 01:30 PM",vfb stuttgart,hertha berlin,1 - 2,W,home,1667935800,https://media-1.api-sports.io/football/teams/172.png
"Saturday, November 12 08:30 AM",vfb stuttgart,bayer leverkusen,0 - 2,L,away,1668263400,https://media-2.api-sports.io/football/teams/172.png
"Saturday, January 21 08:30 AM",vfb stuttgart,fsv mainz 05,,,home,1674311400,https://media-2.api-sports.io/football/teams/172.png
"Tuesday, January 24 01:30 PM",vfb stuttgart,1899 hoffenheim,,,away,1674588600,https://media-1.api-sports.io/football/teams/172.png
"Friday, January 27 01:30 PM",vfb stuttgart,rb leipzig,,,away,1674847800,https://media-3.api-sports.io/football/teams/172.png
"Sunday, February 05 08:30 AM",vfb stuttgart,werder bremen,,,home,1675607400,https://media-1.api-sports.io/football/teams/172.png
"Saturday, February 11 08:30 AM",vfb stuttgart,sc freiburg,,,away,1676125800,https://media-2.api-sports.io/football/teams/172.png
"Saturday, February 18 08:30 AM",vfb stuttgart,fc koln,,,home,1676730600,https://media-1.api-sports.io/football/teams/172.png
"Saturday, February 25 11:30 AM",vfb stuttgart,fc schalke 04,,,away,1677346200,https://media-3.api-sports.io/football/teams/172.png
"Saturday, March 04 11:30 AM",vfb stuttgart,bayern munich,,,home,1677951000,https://media-2.api-sports.io/football/teams/172.png
"Saturday, March 11 08:30 AM",vfb stuttgart,eintracht frankfurt,,,away,1678545000,https://media-3.api-sports.io/football/teams/172.png
"Saturday, March 18 09:30 AM",vfb stuttgart,vfl wolfsburg,,,home,1679149800,https://media-2.api-sports.io/football/teams/172.png
"Friday, March 31 07:00 PM",vfb stuttgart,union berlin,,,away,1680307200,https://media-1.api-sports.io/football/teams/172.png
"Friday, April 07 07:00 PM",vfb stuttgart,vfl bochum,,,away,1680912000,https://media-2.api-sports.io/football/teams/172.png
"Friday, April 14 07:00 PM",vfb stuttgart,borussia dortmund,,,home,1681516800,https://media-3.api-sports.io/football/teams/172.png
"Friday, April 21 07:00 PM",vfb stuttgart,fc augsburg,,,away,1682121600,https://media-3.api-sports.io/football/teams/172.png
"Friday, April 28 07:00 PM",vfb stuttgart,borussia monchengladbach,,,home,1682726400,https://media-1.api-sports.io/football/teams/172.png
"Friday, May 05 07:00 PM",vfb stuttgart,hertha berlin,,,away,1683331200,https://media-3.api-sports.io/football/teams/172.png
"Friday, May 12 07:00 PM",vfb stuttgart,bayer leverkusen,,,home,1683936000,https://media-3.api-sports.io/football/teams/172.png
"Friday, May 19 07:00 PM",vfb stuttgart,fsv mainz 05,,,away,1684540800,https://media-1.api-sports.io/football/teams/172.png
"Saturday, May 27 08:30 AM",vfb stuttgart,1899 hoffenheim,,,home,1685194200,https://media-3.api-sports.io/football/teams/172.png
