Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, August 06 08:30 AM",werder bremen,vfl wolfsburg,2 - 2,tie,away,1659792600,https://media-3.api-sports.io/football/teams/162.png
"Saturday, August 13 08:30 AM",werder bremen,vfb stuttgart,2 - 2,tie,home,1660397400,https://media-1.api-sports.io/football/teams/162.png
"Saturday, August 20 08:30 AM",werder bremen,borussia dortmund,3 - 2,W,away,1661002200,https://media-2.api-sports.io/football/teams/162.png
"Sunday, August 28 10:30 AM",werder bremen,eintracht frankfurt,4 - 3,L,home,1661700600,https://media-3.api-sports.io/football/teams/162.png
"Saturday, September 03 08:30 AM",werder bremen,vfl bochum,2 - 0,W,away,1662211800,https://media-3.api-sports.io/football/teams/162.png
"Friday, September 09 01:30 PM",werder bremen,fc augsburg,1 - 0,L,home,1662748200,https://media-2.api-sports.io/football/teams/162.png
"Saturday, September 17 08:30 AM",werder bremen,bayer leverkusen,1 - 1,tie,away,1663421400,https://media-3.api-sports.io/football/teams/162.png
"Saturday, October 01 11:30 AM",werder bremen,borussia monchengladbach,1 - 5,W,home,1664641800,https://media-1.api-sports.io/football/teams/162.png
"Friday, October 07 01:30 PM",werder bremen,1899 hoffenheim,2 - 1,W,away,1665167400,https://media-2.api-sports.io/football/teams/162.png
"Saturday, October 15 08:30 AM",werder bremen,fsv mainz 05,2 - 0,L,home,1665840600,https://media-1.api-sports.io/football/teams/162.png
"Saturday, October 22 08:30 AM",werder bremen,sc freiburg,0 - 2,L,away,1666445400,https://media-2.api-sports.io/football/teams/162.png
"Friday, October 28 01:30 PM",werder bremen,hertha berlin,0 - 1,W,home,1666981800,https://media-2.api-sports.io/football/teams/162.png
"Saturday, November 05 12:30 PM",werder bremen,fc schalke 04,1 - 2,W,home,1667669400,https://media-1.api-sports.io/football/teams/162.png
"Tuesday, November 08 01:30 PM",werder bremen,bayern munich,1 - 6,L,away,1667935800,https://media-2.api-sports.io/football/teams/162.png
"Saturday, November 12 08:30 AM",werder bremen,rb leipzig,2 - 1,L,home,1668263400,https://media-1.api-sports.io/football/teams/162.png
"Saturday, January 21 11:30 AM",werder bremen,fc koln,,,away,1674322200,https://media-2.api-sports.io/football/teams/162.png
"Wednesday, January 25 01:30 PM",werder bremen,union berlin,,,home,1674675000,https://media-1.api-sports.io/football/teams/162.png
"Saturday, January 28 08:30 AM",werder bremen,vfl wolfsburg,,,home,1674916200,https://media-3.api-sports.io/football/teams/162.png
"Sunday, February 05 08:30 AM",werder bremen,vfb stuttgart,,,away,1675607400,https://media-1.api-sports.io/football/teams/162.png
"Saturday, February 11 08:30 AM",werder bremen,borussia dortmund,,,home,1676125800,https://media-1.api-sports.io/football/teams/162.png
"Saturday, February 18 11:30 AM",werder bremen,eintracht frankfurt,,,away,1676741400,https://media-2.api-sports.io/football/teams/162.png
"Saturday, February 25 08:30 AM",werder bremen,vfl bochum,,,home,1677335400,https://media-2.api-sports.io/football/teams/162.png
"Saturday, March 04 08:30 AM",werder bremen,fc augsburg,,,away,1677940200,https://media-1.api-sports.io/football/teams/162.png
"Sunday, March 12 11:30 AM",werder bremen,bayer leverkusen,,,home,1678638600,https://media-2.api-sports.io/football/teams/162.png
"Friday, March 17 02:30 PM",werder bremen,borussia monchengladbach,,,away,1679081400,https://media-2.api-sports.io/football/teams/162.png
"Friday, March 31 07:00 PM",werder bremen,1899 hoffenheim,,,home,1680307200,https://media-2.api-sports.io/football/teams/162.png
"Friday, April 07 07:00 PM",werder bremen,fsv mainz 05,,,away,1680912000,https://media-2.api-sports.io/football/teams/162.png
"Friday, April 14 07:00 PM",werder bremen,sc freiburg,,,home,1681516800,https://media-1.api-sports.io/football/teams/162.png
"Friday, April 21 07:00 PM",werder bremen,hertha berlin,,,away,1682121600,https://media-3.api-sports.io/football/teams/162.png
"Friday, April 28 07:00 PM",werder bremen,fc schalke 04,,,away,1682726400,https://media-3.api-sports.io/football/teams/162.png
"Friday, May 05 07:00 PM",werder bremen,bayern munich,,,home,1683331200,https://media-2.api-sports.io/football/teams/162.png
"Friday, May 12 07:00 PM",werder bremen,rb leipzig,,,away,1683936000,https://media-2.api-sports.io/football/teams/162.png
"Friday, May 19 07:00 PM",werder bremen,fc koln,,,home,1684540800,https://media-1.api-sports.io/football/teams/162.png
"Saturday, May 27 08:30 AM",werder bremen,union berlin,,,away,1685194200,https://media-3.api-sports.io/football/teams/162.png
