Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Monday, March 28 07:00 PM",belgium,slovenia,,,away,1648512000,https://media-2.api-sports.io/football/teams/1.png
"Saturday, March 26 12:00 PM",belgium,rep. of ireland,2 - 2,tie,away,1648314000,https://media-1.api-sports.io/football/teams/1.png
"Tuesday, March 29 01:45 PM",belgium,burkina faso,0 - 3,W,home,1648579500,https://media-1.api-sports.io/football/teams/1.png
"Friday, June 03 01:45 PM",belgium,netherlands,4 - 1,L,home,1654281900,https://media-2.api-sports.io/football/teams/1.png
"Wednesday, June 08 01:45 PM",belgium,poland,1 - 6,W,home,1654713900,https://media-2.api-sports.io/football/teams/1.png
"Saturday, June 11 01:45 PM",belgium,wales,1 - 1,tie,away,1654973100,https://media-2.api-sports.io/football/teams/1.png
"Tuesday, June 14 01:45 PM",belgium,poland,1 - 0,W,away,1655232300,https://media-2.api-sports.io/football/teams/1.png
"Thursday, September 22 01:45 PM",belgium,wales,1 - 2,W,home,1663872300,https://media-1.api-sports.io/football/teams/1.png
"Sunday, September 25 01:45 PM",belgium,netherlands,0 - 1,L,away,1664131500,https://media-1.api-sports.io/football/teams/1.png
"Wednesday, November 23 01:00 PM",belgium,canada,0 - 1,W,home,1669230000,https://media-2.api-sports.io/football/teams/1.png
"Sunday, November 27 07:00 AM",belgium,morocco,2 - 0,L,home,1669554000,https://media-1.api-sports.io/football/teams/1.png
"Thursday, December 01 09:00 AM",belgium,croatia,0 - 0,tie,away,1669906800,https://media-2.api-sports.io/football/teams/1.png
"Monday, November 14 06:00 PM",belgium,iraq,,,away,1668470400,https://media-3.api-sports.io/football/teams/1.png
"Friday, November 18 09:00 AM",belgium,egypt,2 - 1,L,home,1668783600,https://media-1.api-sports.io/football/teams/1.png
