Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Tuesday, June 07 01:45 PM",germany,england,1 - 1,tie,home,1654627500,https://media-1.api-sports.io/football/teams/25.png
"Monday, September 26 01:45 PM",germany,england,3 - 3,tie,away,1664217900,https://media-1.api-sports.io/football/teams/25.png
"Sunday, November 27 01:00 PM",germany,spain,1 - 1,tie,away,1669575600,https://media-3.api-sports.io/football/teams/25.png
"Saturday, March 26 02:45 PM",germany,israel,0 - 2,W,home,1648323900,https://media-2.api-sports.io/football/teams/25.png
"Tuesday, March 29 01:45 PM",germany,netherlands,1 - 1,tie,away,1648579500,https://media-2.api-sports.io/football/teams/25.png
"Saturday, June 04 01:45 PM",germany,italy,1 - 1,tie,away,1654368300,https://media-3.api-sports.io/football/teams/25.png
"Saturday, June 11 01:45 PM",germany,hungary,1 - 1,tie,away,1654973100,https://media-2.api-sports.io/football/teams/25.png
"Tuesday, June 14 01:45 PM",germany,italy,2 - 5,W,home,1655232300,https://media-2.api-sports.io/football/teams/25.png
"Friday, September 23 01:45 PM",germany,hungary,1 - 0,L,home,1663958700,https://media-2.api-sports.io/football/teams/25.png
"Wednesday, November 23 07:00 AM",germany,japan,2 - 1,L,home,1669208400,https://media-3.api-sports.io/football/teams/25.png
"Thursday, December 01 01:00 PM",germany,costa rica,4 - 2,W,away,1669921200,https://media-2.api-sports.io/football/teams/25.png
"Wednesday, November 16 11:00 AM",germany,oman,1 - 0,W,away,1668618000,https://media-3.api-sports.io/football/teams/25.png
