Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, December 03 09:00 AM",netherlands,usa,1 - 3,W,home,1670079600,https://media-3.api-sports.io/football/teams/1118.png
"Friday, December 09 01:00 PM",netherlands,argentina,2(4) - 2(3),L,home,1670612400,https://media-3.api-sports.io/football/teams/1118.png
"Friday, June 03 01:45 PM",netherlands,belgium,4 - 1,W,away,1654281900,https://media-2.api-sports.io/football/teams/1118.png
"Sunday, September 25 01:45 PM",netherlands,belgium,0 - 1,W,home,1664131500,https://media-3.api-sports.io/football/teams/1118.png
"Tuesday, March 29 01:45 PM",netherlands,germany,1 - 1,tie,home,1648579500,https://media-2.api-sports.io/football/teams/1118.png
"Saturday, March 26 02:45 PM",netherlands,denmark,2 - 4,W,home,1648323900,https://media-3.api-sports.io/football/teams/1118.png
"Wednesday, June 08 01:45 PM",netherlands,wales,2 - 1,W,away,1654713900,https://media-3.api-sports.io/football/teams/1118.png
"Saturday, June 11 01:45 PM",netherlands,poland,2 - 2,tie,home,1654973100,https://media-2.api-sports.io/football/teams/1118.png
"Tuesday, June 14 01:45 PM",netherlands,wales,2 - 3,W,home,1655232300,https://media-1.api-sports.io/football/teams/1118.png
"Thursday, September 22 01:45 PM",netherlands,poland,2 - 0,W,away,1663872300,https://media-3.api-sports.io/football/teams/1118.png
"Monday, November 21 10:00 AM",netherlands,senegal,2 - 0,W,away,1669046400,https://media-1.api-sports.io/football/teams/1118.png
"Friday, November 25 10:00 AM",netherlands,ecuador,1 - 1,tie,home,1669392000,https://media-1.api-sports.io/football/teams/1118.png
"Tuesday, November 29 09:00 AM",netherlands,qatar,0 - 2,W,home,1669734000,https://media-2.api-sports.io/football/teams/1118.png
