Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, March 26 01:45 PM",spain,albania,1 - 2,W,home,1648320300,https://media-1.api-sports.io/football/teams/9.png
"Tuesday, March 29 01:45 PM",spain,iceland,0 - 5,W,home,1648579500,https://media-1.api-sports.io/football/teams/9.png
"Thursday, June 02 01:45 PM",spain,portugal,1 - 1,tie,home,1654195500,https://media-2.api-sports.io/football/teams/9.png
"Sunday, June 05 01:45 PM",spain,czech republic,2 - 2,tie,away,1654454700,https://media-2.api-sports.io/football/teams/9.png
"Thursday, June 09 01:45 PM",spain,switzerland,1 - 0,W,away,1654800300,https://media-2.api-sports.io/football/teams/9.png
"Sunday, June 12 01:45 PM",spain,czech republic,0 - 2,W,home,1655059500,https://media-2.api-sports.io/football/teams/9.png
"Saturday, September 24 01:45 PM",spain,switzerland,2 - 1,L,home,1664045100,https://media-1.api-sports.io/football/teams/9.png
"Tuesday, September 27 01:45 PM",spain,portugal,1 - 0,W,away,1664304300,https://media-1.api-sports.io/football/teams/9.png
"Sunday, November 27 01:00 PM",spain,germany,1 - 1,tie,home,1669575600,https://media-2.api-sports.io/football/teams/9.png
"Thursday, December 01 01:00 PM",spain,japan,1 - 2,L,away,1669921200,https://media-2.api-sports.io/football/teams/9.png
"Wednesday, November 23 10:00 AM",spain,costa rica,0 - 7,W,home,1669219200,https://media-1.api-sports.io/football/teams/9.png
"Thursday, November 17 10:00 AM",spain,jordan,3 - 1,W,away,1668700800,https://media-3.api-sports.io/football/teams/9.png
"Tuesday, December 06 09:00 AM",spain,morocco,0(0) - 0(3),L,away,1670338800,https://media-2.api-sports.io/football/teams/9.png
