Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, August 13 10:00 AM",espanyol,celta vigo,2 - 2,tie,away,1660402800,https://media-1.api-sports.io/football/teams/540.png
"Friday, August 19 01:00 PM",espanyol,rayo vallecano,2 - 0,L,home,1660932000,https://media-3.api-sports.io/football/teams/540.png
"Sunday, August 28 03:00 PM",espanyol,real madrid,3 - 1,L,home,1661716800,https://media-1.api-sports.io/football/teams/540.png
"Sunday, September 04 09:15 AM",espanyol,athletic club,1 - 0,W,away,1662300900,https://media-3.api-sports.io/football/teams/540.png
"Saturday, September 10 09:15 AM",espanyol,sevilla,3 - 2,L,home,1662819300,https://media-2.api-sports.io/football/teams/540.png
"Sunday, September 18 11:30 AM",espanyol,real sociedad,1 - 2,L,away,1663518600,https://media-3.api-sports.io/football/teams/540.png
"Sunday, October 02 07:00 AM",espanyol,valencia,2 - 2,tie,home,1664712000,https://media-1.api-sports.io/football/teams/540.png
"Sunday, October 09 09:15 AM",espanyol,cadiz,2 - 2,tie,away,1665324900,https://media-1.api-sports.io/football/teams/540.png
"Sunday, October 16 11:30 AM",espanyol,valladolid,0 - 1,W,home,1665937800,https://media-2.api-sports.io/football/teams/540.png
"Thursday, October 20 01:00 PM",espanyol,osasuna,0 - 1,L,away,1666288800,https://media-3.api-sports.io/football/teams/540.png
"Sunday, October 23 07:00 AM",espanyol,elche,2 - 2,tie,home,1666526400,https://media-3.api-sports.io/football/teams/540.png
"Friday, October 28 02:00 PM",espanyol,mallorca,1 - 1,tie,away,1666983600,https://media-2.api-sports.io/football/teams/540.png
"Sunday, November 06 07:00 AM",espanyol,atletico madrid,1 - 1,tie,away,1667739600,https://media-2.api-sports.io/football/teams/540.png
"Wednesday, November 09 01:00 PM",espanyol,villarreal,1 - 0,L,home,1668020400,https://media-2.api-sports.io/football/teams/540.png
"Saturday, December 31 07:00 AM",espanyol,barcelona,1 - 1,tie,away,1672491600,https://media-2.api-sports.io/football/teams/540.png
"Saturday, January 07 02:00 PM",espanyol,girona,2 - 2,tie,home,1673121600,https://media-1.api-sports.io/football/teams/540.png
"Sunday, January 15 07:00 AM",espanyol,getafe,,,away,1673787600,https://media-1.api-sports.io/football/teams/540.png
"Saturday, January 21 06:00 PM",espanyol,real betis,,,home,1674345600,https://media-1.api-sports.io/football/teams/540.png
"Saturday, January 28 06:00 PM",espanyol,almeria,,,away,1674950400,https://media-1.api-sports.io/football/teams/540.png
"Saturday, February 04 06:00 PM",espanyol,osasuna,,,home,1675555200,https://media-2.api-sports.io/football/teams/540.png
"Saturday, February 11 06:00 PM",espanyol,real sociedad,,,home,1676160000,https://media-2.api-sports.io/football/teams/540.png
"Saturday, February 18 06:00 PM",espanyol,elche,,,away,1676764800,https://media-2.api-sports.io/football/teams/540.png
"Saturday, February 25 06:00 PM",espanyol,mallorca,,,home,1677369600,https://media-3.api-sports.io/football/teams/540.png
"Saturday, March 04 06:00 PM",espanyol,valladolid,,,away,1677974400,https://media-3.api-sports.io/football/teams/540.png
"Saturday, March 11 06:00 PM",espanyol,real madrid,,,away,1678579200,https://media-1.api-sports.io/football/teams/540.png
"Saturday, March 18 07:00 PM",espanyol,celta vigo,,,home,1679184000,https://media-2.api-sports.io/football/teams/540.png
"Saturday, April 01 07:00 PM",espanyol,girona,,,away,1680393600,https://media-3.api-sports.io/football/teams/540.png
"Saturday, April 08 07:00 PM",espanyol,athletic club,,,home,1680998400,https://media-3.api-sports.io/football/teams/540.png
"Saturday, April 15 07:00 PM",espanyol,real betis,,,away,1681603200,https://media-3.api-sports.io/football/teams/540.png
"Saturday, April 22 07:00 PM",espanyol,cadiz,,,home,1682208000,https://media-3.api-sports.io/football/teams/540.png
"Tuesday, April 25 07:00 PM",espanyol,villarreal,,,away,1682467200,https://media-3.api-sports.io/football/teams/540.png
"Saturday, April 29 07:00 PM",espanyol,getafe,,,home,1682812800,https://media-3.api-sports.io/football/teams/540.png
"Tuesday, May 02 07:00 PM",espanyol,sevilla,,,away,1683072000,https://media-2.api-sports.io/football/teams/540.png
"Saturday, May 13 07:00 PM",espanyol,barcelona,,,home,1684022400,https://media-1.api-sports.io/football/teams/540.png
"Saturday, May 20 07:00 PM",espanyol,rayo vallecano,,,away,1684627200,https://media-3.api-sports.io/football/teams/540.png
"Tuesday, May 23 07:00 PM",espanyol,atletico madrid,,,home,1684886400,https://media-2.api-sports.io/football/teams/540.png
"Saturday, May 27 07:00 PM",espanyol,valencia,,,away,1685232000,https://media-3.api-sports.io/football/teams/540.png
"Saturday, June 03 07:00 PM",espanyol,almeria,,,home,1685836800,https://media-2.api-sports.io/football/teams/540.png
