Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Friday, August 12 02:00 PM",osasuna,sevilla,1 - 2,W,home,1660330800,https://media-2.api-sports.io/football/teams/727.png
"Saturday, August 20 10:30 AM",osasuna,cadiz,0 - 2,W,home,1661009400,https://media-3.api-sports.io/football/teams/727.png
"Friday, August 26 03:00 PM",osasuna,real betis,0 - 1,L,away,1661544000,https://media-1.api-sports.io/football/teams/727.png
"Sunday, September 04 07:00 AM",osasuna,rayo vallecano,1 - 2,W,home,1662292800,https://media-3.api-sports.io/football/teams/727.png
"Monday, September 12 02:00 PM",osasuna,almeria,1 - 0,W,away,1663009200,https://media-3.api-sports.io/football/teams/727.png
"Sunday, September 18 07:00 AM",osasuna,getafe,2 - 0,L,home,1663502400,https://media-1.api-sports.io/football/teams/727.png
"Sunday, October 02 02:00 PM",osasuna,real madrid,1 - 1,tie,away,1664737200,https://media-2.api-sports.io/football/teams/727.png
"Friday, October 07 02:00 PM",osasuna,valencia,2 - 1,L,home,1665169200,https://media-3.api-sports.io/football/teams/727.png
"Monday, October 17 02:00 PM",osasuna,villarreal,0 - 2,L,away,1666033200,https://media-1.api-sports.io/football/teams/727.png
"Thursday, October 20 01:00 PM",osasuna,espanyol,0 - 1,W,home,1666288800,https://media-3.api-sports.io/football/teams/727.png
"Sunday, October 23 11:30 AM",osasuna,girona,1 - 1,tie,away,1666542600,https://media-3.api-sports.io/football/teams/727.png
"Sunday, October 30 08:00 AM",osasuna,valladolid,0 - 2,W,home,1667134800,https://media-2.api-sports.io/football/teams/727.png
"Saturday, November 05 12:30 PM",osasuna,celta vigo,2 - 1,W,away,1667669400,https://media-1.api-sports.io/football/teams/727.png
"Tuesday, November 08 02:30 PM",osasuna,barcelona,2 - 1,L,home,1667939400,https://media-1.api-sports.io/football/teams/727.png
"Saturday, December 31 09:15 AM",osasuna,real sociedad,0 - 2,L,away,1672499700,https://media-3.api-sports.io/football/teams/727.png
"Monday, January 09 02:00 PM",osasuna,athletic club,0 - 0,tie,away,1673294400,https://media-1.api-sports.io/football/teams/727.png
"Saturday, January 14 11:30 AM",osasuna,mallorca,,,home,1673717400,https://media-3.api-sports.io/football/teams/727.png
"Sunday, January 22 09:15 AM",osasuna,elche,,,away,1674400500,https://media-3.api-sports.io/football/teams/727.png
"Saturday, January 28 06:00 PM",osasuna,atletico madrid,,,home,1674950400,https://media-2.api-sports.io/football/teams/727.png
"Saturday, February 04 06:00 PM",osasuna,espanyol,,,away,1675555200,https://media-2.api-sports.io/football/teams/727.png
"Saturday, February 11 06:00 PM",osasuna,valladolid,,,away,1676160000,https://media-3.api-sports.io/football/teams/727.png
"Saturday, February 18 06:00 PM",osasuna,real madrid,,,home,1676764800,https://media-2.api-sports.io/football/teams/727.png
"Saturday, February 25 06:00 PM",osasuna,sevilla,,,away,1677369600,https://media-1.api-sports.io/football/teams/727.png
"Saturday, March 04 06:00 PM",osasuna,celta vigo,,,home,1677974400,https://media-1.api-sports.io/football/teams/727.png
"Saturday, March 11 06:00 PM",osasuna,valencia,,,away,1678579200,https://media-3.api-sports.io/football/teams/727.png
"Saturday, March 18 07:00 PM",osasuna,villarreal,,,home,1679184000,https://media-3.api-sports.io/football/teams/727.png
"Saturday, April 01 07:00 PM",osasuna,mallorca,,,away,1680393600,https://media-1.api-sports.io/football/teams/727.png
"Saturday, April 08 07:00 PM",osasuna,elche,,,home,1680998400,https://media-2.api-sports.io/football/teams/727.png
"Saturday, April 15 07:00 PM",osasuna,rayo vallecano,,,away,1681603200,https://media-3.api-sports.io/football/teams/727.png
"Saturday, April 22 07:00 PM",osasuna,real betis,,,home,1682208000,https://media-2.api-sports.io/football/teams/727.png
"Tuesday, April 25 07:00 PM",osasuna,cadiz,,,away,1682467200,https://media-3.api-sports.io/football/teams/727.png
"Saturday, April 29 07:00 PM",osasuna,real sociedad,,,home,1682812800,https://media-2.api-sports.io/football/teams/727.png
"Tuesday, May 02 07:00 PM",osasuna,barcelona,,,away,1683072000,https://media-1.api-sports.io/football/teams/727.png
"Saturday, May 13 07:00 PM",osasuna,almeria,,,home,1684022400,https://media-3.api-sports.io/football/teams/727.png
"Saturday, May 20 07:00 PM",osasuna,atletico madrid,,,away,1684627200,https://media-3.api-sports.io/football/teams/727.png
"Tuesday, May 23 07:00 PM",osasuna,athletic club,,,home,1684886400,https://media-3.api-sports.io/football/teams/727.png
"Saturday, May 27 07:00 PM",osasuna,getafe,,,away,1685232000,https://media-2.api-sports.io/football/teams/727.png
"Saturday, June 03 07:00 PM",osasuna,girona,,,home,1685836800,https://media-3.api-sports.io/football/teams/727.png
