Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, August 14 03:00 PM",real madrid,almeria,2 - 1,W,away,1660507200,https://media-3.api-sports.io/football/teams/541.png
"Saturday, August 20 03:00 PM",real madrid,celta vigo,4 - 1,W,away,1661025600,https://media-3.api-sports.io/football/teams/541.png
"Sunday, August 28 03:00 PM",real madrid,espanyol,3 - 1,W,away,1661716800,https://media-3.api-sports.io/football/teams/541.png
"Saturday, September 03 09:15 AM",real madrid,real betis,1 - 2,W,home,1662214500,https://media-1.api-sports.io/football/teams/541.png
"Sunday, September 11 07:00 AM",real madrid,mallorca,1 - 4,W,home,1662897600,https://media-1.api-sports.io/football/teams/541.png
"Sunday, September 18 02:00 PM",real madrid,atletico madrid,2 - 1,W,away,1663527600,https://media-2.api-sports.io/football/teams/541.png
"Sunday, October 02 02:00 PM",real madrid,osasuna,1 - 1,tie,home,1664737200,https://media-2.api-sports.io/football/teams/541.png
"Saturday, October 08 02:00 PM",real madrid,getafe,1 - 0,W,away,1665255600,https://media-2.api-sports.io/football/teams/541.png
"Sunday, October 16 09:15 AM",real madrid,barcelona,1 - 3,W,home,1665929700,https://media-1.api-sports.io/football/teams/541.png
"Wednesday, October 19 02:00 PM",real madrid,elche,3 - 0,W,away,1666206000,https://media-2.api-sports.io/football/teams/541.png
"Saturday, October 22 02:00 PM",real madrid,sevilla,1 - 3,W,home,1666465200,https://media-3.api-sports.io/football/teams/541.png
"Sunday, October 30 10:15 AM",real madrid,girona,1 - 1,tie,home,1667142900,https://media-3.api-sports.io/football/teams/541.png
"Monday, November 07 02:00 PM",real madrid,rayo vallecano,2 - 3,L,away,1667851200,https://media-1.api-sports.io/football/teams/541.png
"Thursday, November 10 02:30 PM",real madrid,cadiz,1 - 2,W,home,1668112200,https://media-3.api-sports.io/football/teams/541.png
"Friday, December 30 02:30 PM",real madrid,valladolid,2 - 0,W,away,1672432200,https://media-2.api-sports.io/football/teams/541.png
"Saturday, January 07 09:15 AM",real madrid,villarreal,1 - 2,L,away,1673104500,https://media-3.api-sports.io/football/teams/541.png
"Thursday, February 02 02:00 PM",real madrid,valencia,,,home,1675368000,https://media-2.api-sports.io/football/teams/541.png
"Sunday, January 22 02:00 PM",real madrid,athletic club,,,away,1674417600,https://media-2.api-sports.io/football/teams/541.png
"Saturday, January 28 06:00 PM",real madrid,real sociedad,,,home,1674950400,https://media-3.api-sports.io/football/teams/541.png
"Saturday, February 04 06:00 PM",real madrid,mallorca,,,away,1675555200,https://media-2.api-sports.io/football/teams/541.png
"Saturday, February 11 06:00 PM",real madrid,elche,,,home,1676160000,https://media-3.api-sports.io/football/teams/541.png
"Saturday, February 18 06:00 PM",real madrid,osasuna,,,away,1676764800,https://media-1.api-sports.io/football/teams/541.png
"Saturday, February 25 06:00 PM",real madrid,atletico madrid,,,home,1677369600,https://media-2.api-sports.io/football/teams/541.png
"Saturday, March 04 06:00 PM",real madrid,real betis,,,away,1677974400,https://media-3.api-sports.io/football/teams/541.png
"Saturday, March 11 06:00 PM",real madrid,espanyol,,,home,1678579200,https://media-3.api-sports.io/football/teams/541.png
"Saturday, March 18 07:00 PM",real madrid,barcelona,,,away,1679184000,https://media-2.api-sports.io/football/teams/541.png
"Saturday, April 01 07:00 PM",real madrid,valladolid,,,home,1680393600,https://media-2.api-sports.io/football/teams/541.png
"Saturday, April 08 07:00 PM",real madrid,villarreal,,,home,1680998400,https://media-1.api-sports.io/football/teams/541.png
"Saturday, April 15 07:00 PM",real madrid,cadiz,,,away,1681603200,https://media-3.api-sports.io/football/teams/541.png
"Saturday, April 22 07:00 PM",real madrid,celta vigo,,,home,1682208000,https://media-1.api-sports.io/football/teams/541.png
"Tuesday, April 25 07:00 PM",real madrid,girona,,,away,1682467200,https://media-3.api-sports.io/football/teams/541.png
"Saturday, April 29 07:00 PM",real madrid,almeria,,,home,1682812800,https://media-2.api-sports.io/football/teams/541.png
"Tuesday, May 02 07:00 PM",real madrid,real sociedad,,,away,1683072000,https://media-3.api-sports.io/football/teams/541.png
"Saturday, May 13 07:00 PM",real madrid,getafe,,,home,1684022400,https://media-2.api-sports.io/football/teams/541.png
"Saturday, May 20 07:00 PM",real madrid,valencia,,,away,1684627200,https://media-3.api-sports.io/football/teams/541.png
"Tuesday, May 23 07:00 PM",real madrid,rayo vallecano,,,home,1684886400,https://media-1.api-sports.io/football/teams/541.png
"Saturday, May 27 07:00 PM",real madrid,sevilla,,,away,1685232000,https://media-1.api-sports.io/football/teams/541.png
"Saturday, June 03 07:00 PM",real madrid,athletic club,,,home,1685836800,https://media-2.api-sports.io/football/teams/541.png
