Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, August 07 08:00 AM",lens,stade brestois 29,2 - 3,W,home,1659877200,https://media-2.api-sports.io/football/teams/116.png
"Sunday, August 14 08:00 AM",lens,ajaccio,0 - 0,tie,away,1660482000,https://media-3.api-sports.io/football/teams/116.png
"Saturday, August 20 10:00 AM",lens,monaco,4 - 1,W,away,1661007600,https://media-3.api-sports.io/football/teams/116.png
"Saturday, August 27 02:00 PM",lens,rennes,1 - 2,W,home,1661626800,https://media-2.api-sports.io/football/teams/116.png
"Wednesday, August 31 02:00 PM",lens,lorient,2 - 5,W,home,1661972400,https://media-3.api-sports.io/football/teams/116.png
"Sunday, September 04 08:00 AM",lens,reims,1 - 1,tie,away,1662296400,https://media-2.api-sports.io/football/teams/116.png
"Friday, September 09 02:00 PM",lens,estac troyes,0 - 1,W,home,1662750000,https://media-2.api-sports.io/football/teams/116.png
"Sunday, September 18 10:05 AM",lens,nantes,0 - 0,tie,away,1663513500,https://media-1.api-sports.io/football/teams/116.png
"Sunday, October 02 01:45 PM",lens,lyon,0 - 1,W,home,1664736300,https://media-1.api-sports.io/football/teams/116.png
"Sunday, October 09 01:45 PM",lens,lille,0 - 1,L,away,1665341100,https://media-1.api-sports.io/football/teams/116.png
"Saturday, October 15 02:00 PM",lens,montpellier,0 - 1,W,home,1665860400,https://media-3.api-sports.io/football/teams/116.png
"Saturday, October 22 02:00 PM",lens,marseille,1 - 0,W,away,1666465200,https://media-2.api-sports.io/football/teams/116.png
"Friday, October 28 02:00 PM",lens,toulouse,0 - 3,W,home,1666983600,https://media-1.api-sports.io/football/teams/116.png
"Saturday, November 05 03:00 PM",lens,angers,2 - 1,W,away,1667678400,https://media-1.api-sports.io/football/teams/116.png
"Saturday, November 12 10:00 AM",lens,clermont foot,1 - 2,W,home,1668268800,https://media-2.api-sports.io/football/teams/116.png
"Thursday, December 29 02:00 PM",lens,nice,0 - 0,tie,away,1672344000,https://media-2.api-sports.io/football/teams/116.png
"Sunday, January 01 01:45 PM",lens,paris saint germain,1 - 3,W,home,1672602300,https://media-3.api-sports.io/football/teams/116.png
"Wednesday, January 11 02:00 PM",lens,strasbourg,2 - 2,tie,away,1673467200,https://media-3.api-sports.io/football/teams/116.png
"Saturday, January 14 10:00 AM",lens,auxerre,,,home,1673712000,https://media-1.api-sports.io/football/teams/116.png
"Saturday, January 28 10:00 AM",lens,estac troyes,,,away,1674921600,https://media-3.api-sports.io/football/teams/116.png
"Wednesday, February 01 02:00 PM",lens,nice,,,home,1675281600,https://media-3.api-sports.io/football/teams/116.png
"Saturday, February 04 06:00 PM",lens,stade brestois 29,,,away,1675555200,https://media-2.api-sports.io/football/teams/116.png
"Saturday, February 11 06:00 PM",lens,lyon,,,away,1676160000,https://media-1.api-sports.io/football/teams/116.png
"Saturday, February 18 06:00 PM",lens,nantes,,,home,1676764800,https://media-1.api-sports.io/football/teams/116.png
"Saturday, February 25 06:00 PM",lens,montpellier,,,away,1677369600,https://media-2.api-sports.io/football/teams/116.png
"Saturday, March 04 06:00 PM",lens,lille,,,home,1677974400,https://media-3.api-sports.io/football/teams/116.png
"Saturday, March 11 06:00 PM",lens,clermont foot,,,away,1678579200,https://media-2.api-sports.io/football/teams/116.png
"Saturday, March 18 07:00 PM",lens,angers,,,home,1679184000,https://media-1.api-sports.io/football/teams/116.png
"Saturday, April 01 07:00 PM",lens,rennes,,,away,1680393600,https://media-3.api-sports.io/football/teams/116.png
"Saturday, April 08 07:00 PM",lens,strasbourg,,,home,1680998400,https://media-3.api-sports.io/football/teams/116.png
"Saturday, April 15 07:00 PM",lens,paris saint germain,,,away,1681603200,https://media-3.api-sports.io/football/teams/116.png
"Saturday, April 22 07:00 PM",lens,monaco,,,home,1682208000,https://media-3.api-sports.io/football/teams/116.png
"Saturday, April 29 07:00 PM",lens,toulouse,,,away,1682812800,https://media-1.api-sports.io/football/teams/116.png
"Saturday, May 06 07:00 PM",lens,marseille,,,home,1683417600,https://media-1.api-sports.io/football/teams/116.png
"Saturday, May 13 07:00 PM",lens,reims,,,home,1684022400,https://media-2.api-sports.io/football/teams/116.png
"Saturday, May 20 07:00 PM",lens,lorient,,,away,1684627200,https://media-2.api-sports.io/football/teams/116.png
"Friday, May 26 07:00 PM",lens,ajaccio,,,home,1685145600,https://media-2.api-sports.io/football/teams/116.png
"Friday, June 02 07:00 PM",lens,auxerre,,,away,1685750400,https://media-3.api-sports.io/football/teams/116.png
