Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, August 07 10:05 AM",rennes,lorient,1 - 0,L,home,1659884700,https://media-3.api-sports.io/football/teams/94.png
"Saturday, August 13 10:00 AM",rennes,monaco,1 - 1,tie,away,1660402800,https://media-1.api-sports.io/football/teams/94.png
"Sunday, August 21 10:05 AM",rennes,ajaccio,1 - 2,W,home,1661094300,https://media-3.api-sports.io/football/teams/94.png
"Saturday, August 27 02:00 PM",rennes,lens,1 - 2,L,away,1661626800,https://media-2.api-sports.io/football/teams/94.png
"Wednesday, August 31 02:00 PM",rennes,stade brestois 29,1 - 3,W,home,1661972400,https://media-2.api-sports.io/football/teams/94.png
"Sunday, September 04 10:05 AM",rennes,estac troyes,1 - 1,tie,away,1662303900,https://media-1.api-sports.io/football/teams/94.png
"Sunday, September 11 10:05 AM",rennes,auxerre,0 - 5,W,home,1662908700,https://media-2.api-sports.io/football/teams/94.png
"Sunday, September 18 08:00 AM",rennes,marseille,1 - 1,tie,away,1663506000,https://media-1.api-sports.io/football/teams/94.png
"Saturday, October 01 10:00 AM",rennes,strasbourg,3 - 1,W,away,1664636400,https://media-1.api-sports.io/football/teams/94.png
"Sunday, October 09 10:05 AM",rennes,nantes,0 - 3,W,home,1665327900,https://media-2.api-sports.io/football/teams/94.png
"Sunday, October 16 08:00 AM",rennes,lyon,2 - 3,W,home,1665925200,https://media-1.api-sports.io/football/teams/94.png
"Sunday, October 23 06:00 AM",rennes,angers,2 - 1,W,away,1666522800,https://media-1.api-sports.io/football/teams/94.png
"Sunday, October 30 09:00 AM",rennes,montpellier,0 - 3,W,home,1667138400,https://media-2.api-sports.io/football/teams/94.png
"Sunday, November 06 10:05 AM",rennes,lille,1 - 1,tie,away,1667750700,https://media-3.api-sports.io/football/teams/94.png
"Saturday, November 12 02:00 PM",rennes,toulouse,1 - 2,W,home,1668283200,https://media-3.api-sports.io/football/teams/94.png
"Thursday, December 29 12:00 PM",rennes,reims,1 - 3,L,away,1672336800,https://media-1.api-sports.io/football/teams/94.png
"Monday, January 02 02:00 PM",rennes,nice,1 - 2,W,home,1672689600,https://media-3.api-sports.io/football/teams/94.png
"Wednesday, January 11 12:00 PM",rennes,clermont foot,1 - 2,L,away,1673460000,https://media-2.api-sports.io/football/teams/94.png
"Sunday, January 15 01:45 PM",rennes,paris saint germain,,,home,1673811900,https://media-2.api-sports.io/football/teams/94.png
"Friday, January 27 02:00 PM",rennes,lorient,,,away,1674849600,https://media-2.api-sports.io/football/teams/94.png
"Wednesday, February 01 02:00 PM",rennes,strasbourg,,,home,1675281600,https://media-1.api-sports.io/football/teams/94.png
"Saturday, February 04 06:00 PM",rennes,lille,,,home,1675555200,https://media-3.api-sports.io/football/teams/94.png
"Saturday, February 11 06:00 PM",rennes,toulouse,,,away,1676160000,https://media-3.api-sports.io/football/teams/94.png
"Saturday, February 18 06:00 PM",rennes,clermont foot,,,home,1676764800,https://media-2.api-sports.io/football/teams/94.png
"Saturday, February 25 06:00 PM",rennes,nantes,,,away,1677369600,https://media-1.api-sports.io/football/teams/94.png
"Saturday, March 04 06:00 PM",rennes,marseille,,,home,1677974400,https://media-1.api-sports.io/football/teams/94.png
"Saturday, March 11 06:00 PM",rennes,auxerre,,,away,1678579200,https://media-2.api-sports.io/football/teams/94.png
"Saturday, March 18 07:00 PM",rennes,paris saint germain,,,away,1679184000,https://media-3.api-sports.io/football/teams/94.png
"Saturday, April 01 07:00 PM",rennes,lens,,,home,1680393600,https://media-3.api-sports.io/football/teams/94.png
"Saturday, April 08 07:00 PM",rennes,lyon,,,away,1680998400,https://media-1.api-sports.io/football/teams/94.png
"Saturday, April 15 07:00 PM",rennes,reims,,,home,1681603200,https://media-3.api-sports.io/football/teams/94.png
"Saturday, April 22 07:00 PM",rennes,montpellier,,,away,1682208000,https://media-3.api-sports.io/football/teams/94.png
"Saturday, April 29 07:00 PM",rennes,angers,,,home,1682812800,https://media-1.api-sports.io/football/teams/94.png
"Saturday, May 06 07:00 PM",rennes,nice,,,away,1683417600,https://media-3.api-sports.io/football/teams/94.png
"Saturday, May 13 07:00 PM",rennes,estac troyes,,,home,1684022400,https://media-3.api-sports.io/football/teams/94.png
"Saturday, May 20 07:00 PM",rennes,ajaccio,,,away,1684627200,https://media-1.api-sports.io/football/teams/94.png
"Friday, May 26 07:00 PM",rennes,monaco,,,home,1685145600,https://media-1.api-sports.io/football/teams/94.png
"Friday, June 02 07:00 PM",rennes,stade brestois 29,,,away,1685750400,https://media-3.api-sports.io/football/teams/94.png
