Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, August 07 08:00 AM",stade brestois 29,lens,2 - 3,L,away,1659877200,https://media-1.api-sports.io/football/teams/106.png
"Sunday, August 14 01:45 PM",stade brestois 29,marseille,1 - 1,tie,home,1660502700,https://media-1.api-sports.io/football/teams/106.png
"Sunday, August 21 08:00 AM",stade brestois 29,angers,3 - 1,W,away,1661086800,https://media-3.api-sports.io/football/teams/106.png
"Sunday, August 28 08:00 AM",stade brestois 29,montpellier,7 - 0,L,home,1661691600,https://media-3.api-sports.io/football/teams/106.png
"Wednesday, August 31 02:00 PM",stade brestois 29,rennes,1 - 3,L,away,1661972400,https://media-1.api-sports.io/football/teams/106.png
"Sunday, September 04 08:00 AM",stade brestois 29,strasbourg,1 - 1,tie,home,1662296400,https://media-2.api-sports.io/football/teams/106.png
"Saturday, September 10 10:00 AM",stade brestois 29,paris saint germain,0 - 1,L,away,1662822000,https://media-2.api-sports.io/football/teams/106.png
"Sunday, September 18 08:00 AM",stade brestois 29,ajaccio,1 - 0,L,home,1663506000,https://media-1.api-sports.io/football/teams/106.png
"Sunday, October 02 08:00 AM",stade brestois 29,auxerre,1 - 1,tie,away,1664715600,https://media-2.api-sports.io/football/teams/106.png
"Sunday, October 09 08:00 AM",stade brestois 29,lorient,2 - 1,L,home,1665320400,https://media-1.api-sports.io/football/teams/106.png
"Sunday, October 16 08:00 AM",stade brestois 29,nantes,1 - 4,L,away,1665925200,https://media-1.api-sports.io/football/teams/106.png
"Sunday, October 23 08:00 AM",stade brestois 29,clermont foot,3 - 1,W,away,1666530000,https://media-2.api-sports.io/football/teams/106.png
"Sunday, October 30 09:00 AM",stade brestois 29,reims,0 - 0,tie,home,1667138400,https://media-3.api-sports.io/football/teams/106.png
"Sunday, November 06 08:00 AM",stade brestois 29,nice,0 - 1,L,away,1667743200,https://media-3.api-sports.io/football/teams/106.png
"Sunday, November 13 08:00 AM",stade brestois 29,estac troyes,1 - 2,W,home,1668348000,https://media-1.api-sports.io/football/teams/106.png
"Wednesday, December 28 02:00 PM",stade brestois 29,lyon,4 - 2,L,home,1672257600,https://media-3.api-sports.io/football/teams/106.png
"Sunday, January 01 08:00 AM",stade brestois 29,monaco,0 - 1,L,away,1672581600,https://media-2.api-sports.io/football/teams/106.png
"Wednesday, January 11 12:00 PM",stade brestois 29,lille,0 - 0,tie,home,1673460000,https://media-1.api-sports.io/football/teams/106.png
"Sunday, January 15 08:00 AM",stade brestois 29,toulouse,,,away,1673791200,https://media-1.api-sports.io/football/teams/106.png
"Sunday, January 29 08:00 AM",stade brestois 29,angers,,,home,1675000800,https://media-1.api-sports.io/football/teams/106.png
"Wednesday, February 01 02:00 PM",stade brestois 29,lyon,,,away,1675281600,https://media-2.api-sports.io/football/teams/106.png
"Saturday, February 04 06:00 PM",stade brestois 29,lens,,,home,1675555200,https://media-3.api-sports.io/football/teams/106.png
"Saturday, February 11 06:00 PM",stade brestois 29,montpellier,,,away,1676160000,https://media-1.api-sports.io/football/teams/106.png
"Saturday, February 18 06:00 PM",stade brestois 29,monaco,,,home,1676764800,https://media-3.api-sports.io/football/teams/106.png
"Saturday, February 25 06:00 PM",stade brestois 29,lille,,,away,1677369600,https://media-2.api-sports.io/football/teams/106.png
"Saturday, March 04 06:00 PM",stade brestois 29,strasbourg,,,away,1677974400,https://media-1.api-sports.io/football/teams/106.png
"Saturday, March 11 06:00 PM",stade brestois 29,paris saint germain,,,home,1678579200,https://media-2.api-sports.io/football/teams/106.png
"Saturday, March 18 07:00 PM",stade brestois 29,estac troyes,,,away,1679184000,https://media-2.api-sports.io/football/teams/106.png
"Saturday, April 01 07:00 PM",stade brestois 29,toulouse,,,home,1680393600,https://media-1.api-sports.io/football/teams/106.png
"Saturday, April 08 07:00 PM",stade brestois 29,reims,,,away,1680998400,https://media-1.api-sports.io/football/teams/106.png
"Saturday, April 15 07:00 PM",stade brestois 29,nice,,,home,1681603200,https://media-3.api-sports.io/football/teams/106.png
"Saturday, April 22 07:00 PM",stade brestois 29,ajaccio,,,away,1682208000,https://media-3.api-sports.io/football/teams/106.png
"Saturday, April 29 07:00 PM",stade brestois 29,nantes,,,home,1682812800,https://media-1.api-sports.io/football/teams/106.png
"Saturday, May 06 07:00 PM",stade brestois 29,lorient,,,away,1683417600,https://media-3.api-sports.io/football/teams/106.png
"Saturday, May 13 07:00 PM",stade brestois 29,auxerre,,,home,1684022400,https://media-1.api-sports.io/football/teams/106.png
"Saturday, May 20 07:00 PM",stade brestois 29,clermont foot,,,home,1684627200,https://media-3.api-sports.io/football/teams/106.png
"Friday, May 26 07:00 PM",stade brestois 29,marseille,,,away,1685145600,https://media-2.api-sports.io/football/teams/106.png
"Friday, June 02 07:00 PM",stade brestois 29,rennes,,,home,1685750400,https://media-1.api-sports.io/football/teams/106.png
