Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, February 27 02:00 PM",atlanta united fc,sporting kansas city,1 - 3,W,home,1645992000,https://media-2.api-sports.io/football/teams/1608.png
"Saturday, March 05 05:00 PM",atlanta united fc,colorado rapids,0 - 3,L,away,1646521200,https://media-1.api-sports.io/football/teams/1608.png
"Sunday, March 13 03:30 PM",atlanta united fc,charlotte,1 - 2,W,home,1647203400,https://media-2.api-sports.io/football/teams/1608.png
"Saturday, March 19 03:00 PM",atlanta united fc,montreal impact,3 - 3,tie,home,1647720000,https://media-1.api-sports.io/football/teams/1608.png
"Sunday, April 03 06:30 PM",atlanta united fc,dc united,1 - 0,W,away,1649028600,https://media-1.api-sports.io/football/teams/1608.png
"Sunday, April 10 12:30 PM",atlanta united fc,charlotte,0 - 1,L,away,1649611800,https://media-2.api-sports.io/football/teams/1608.png
"Saturday, April 16 05:00 PM",atlanta united fc,fc cincinnati,0 - 0,tie,home,1650146400,https://media-2.api-sports.io/football/teams/1608.png
"Sunday, April 24 12:00 PM",atlanta united fc,inter miami,1 - 2,L,away,1650819600,https://media-3.api-sports.io/football/teams/1608.png
"Saturday, April 30 03:00 PM",atlanta united fc,montreal impact,1 - 2,L,away,1651348800,https://media-2.api-sports.io/football/teams/1608.png
"Saturday, May 07 05:00 PM",atlanta united fc,chicago fire,1 - 4,W,home,1651960800,https://media-1.api-sports.io/football/teams/1608.png
"Sunday, May 15 12:30 PM",atlanta united fc,new england revolution,2 - 2,tie,home,1652635800,https://media-3.api-sports.io/football/teams/1608.png
"Saturday, May 21 06:30 PM",atlanta united fc,nashville sc,2 - 2,tie,away,1653175800,https://media-3.api-sports.io/football/teams/1608.png
"Saturday, May 28 06:00 PM",atlanta united fc,columbus crew,2 - 1,L,home,1653778800,https://media-3.api-sports.io/football/teams/1608.png
"Sunday, June 19 02:00 PM",atlanta united fc,inter miami,0 - 2,W,home,1655665200,https://media-1.api-sports.io/football/teams/1608.png
"Saturday, June 25 06:30 PM",atlanta united fc,toronto fc,1 - 2,L,away,1656199800,https://media-2.api-sports.io/football/teams/1608.png
"Thursday, June 30 07:00 PM",atlanta united fc,new york red bulls,1 - 2,L,away,1656633600,https://media-3.api-sports.io/football/teams/1608.png
"Sunday, July 03 04:00 PM",atlanta united fc,new york city fc,2 - 2,tie,away,1656882000,https://media-1.api-sports.io/football/teams/1608.png
"Saturday, July 09 06:00 PM",atlanta united fc,austin,3 - 0,L,home,1657407600,https://media-1.api-sports.io/football/teams/1608.png
"Wednesday, July 13 06:30 PM",atlanta united fc,real salt lake,1 - 2,W,home,1657755000,https://media-2.api-sports.io/football/teams/1608.png
"Sunday, July 17 02:00 PM",atlanta united fc,orlando city sc,1 - 1,tie,home,1658084400,https://media-1.api-sports.io/football/teams/1608.png
"Sunday, July 24 08:30 PM",atlanta united fc,los angeles galaxy,0 - 2,L,away,1658712600,https://media-3.api-sports.io/football/teams/1608.png
"Saturday, July 30 04:00 PM",atlanta united fc,chicago fire,0 - 0,tie,away,1659214800,https://media-2.api-sports.io/football/teams/1608.png
"Saturday, August 06 02:00 PM",atlanta united fc,seattle sounders,1 - 2,W,home,1659812400,https://media-2.api-sports.io/football/teams/1608.png
"Saturday, August 13 06:30 PM",atlanta united fc,fc cincinnati,2 - 2,tie,away,1660433400,https://media-1.api-sports.io/football/teams/1608.png
"Wednesday, August 17 06:30 PM",atlanta united fc,new york red bulls,2 - 1,L,home,1660779000,https://media-3.api-sports.io/football/teams/1608.png
"Monday, August 22 04:30 PM",atlanta united fc,columbus crew,2 - 2,tie,away,1661203800,https://media-2.api-sports.io/football/teams/1608.png
"Sunday, August 28 03:00 PM",atlanta united fc,dc united,2 - 3,W,home,1661716800,https://media-2.api-sports.io/football/teams/1608.png
"Wednesday, August 31 06:00 PM",atlanta united fc,philadelphia union,1 - 4,L,away,1661986800,https://media-1.api-sports.io/football/teams/1608.png
"Sunday, September 04 04:30 PM",atlanta united fc,portland timbers,1 - 2,L,away,1662327000,https://media-1.api-sports.io/football/teams/1608.png
"Saturday, September 10 06:30 PM",atlanta united fc,toronto fc,2 - 4,W,home,1662852600,https://media-1.api-sports.io/football/teams/1608.png
"Wednesday, September 14 05:00 PM",atlanta united fc,orlando city sc,1 - 0,W,away,1663192800,https://media-3.api-sports.io/football/teams/1608.png
"Saturday, September 17 02:30 PM",atlanta united fc,philadelphia union,0 - 0,tie,home,1663443000,https://media-1.api-sports.io/football/teams/1608.png
"Saturday, October 01 12:30 PM",atlanta united fc,new england revolution,1 - 2,L,away,1664645400,https://media-3.api-sports.io/football/teams/1608.png
"Sunday, October 09 01:30 PM",atlanta united fc,new york city fc,2 - 1,L,home,1665340200,https://media-2.api-sports.io/football/teams/1608.png
