Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, February 26 05:00 PM",dc united,charlotte,0 - 3,W,home,1645916400,https://media-3.api-sports.io/football/teams/1615.png
"Saturday, March 05 05:00 PM",dc united,fc cincinnati,1 - 0,W,away,1646521200,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, March 12 06:30 PM",dc united,chicago fire,2 - 0,L,home,1647131400,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, March 19 02:00 PM",dc united,toronto fc,1 - 2,L,away,1647716400,https://media-1.api-sports.io/football/teams/1615.png
"Sunday, April 03 06:30 PM",dc united,atlanta united fc,1 - 0,L,home,1649028600,https://media-2.api-sports.io/football/teams/1615.png
"Wednesday, August 31 07:00 PM",dc united,new york city fc,2 - 1,W,away,1661990400,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, April 16 06:30 PM",dc united,austin,3 - 2,L,home,1650151800,https://media-2.api-sports.io/football/teams/1615.png
"Saturday, April 23 06:30 PM",dc united,new england revolution,2 - 3,W,home,1650756600,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, April 30 06:30 PM",dc united,columbus crew,0 - 3,L,away,1651361400,https://media-3.api-sports.io/football/teams/1615.png
"Saturday, May 07 06:30 PM",dc united,houston dynamo,0 - 2,W,home,1651966200,https://media-2.api-sports.io/football/teams/1615.png
"Saturday, May 14 07:00 PM",dc united,inter miami,2 - 2,tie,away,1652572800,https://media-1.api-sports.io/football/teams/1615.png
"Wednesday, May 18 06:30 PM",dc united,new york city fc,2 - 0,L,home,1652916600,https://media-2.api-sports.io/football/teams/1615.png
"Saturday, May 21 05:30 PM",dc united,toronto fc,2 - 2,tie,home,1653172200,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, May 28 06:00 PM",dc united,new york red bulls,1 - 4,L,away,1653778800,https://media-3.api-sports.io/football/teams/1615.png
"Saturday, June 18 07:00 PM",dc united,chicago fire,0 - 1,L,away,1655596800,https://media-2.api-sports.io/football/teams/1615.png
"Saturday, June 25 04:00 PM",dc united,nashville sc,3 - 1,L,home,1656190800,https://media-2.api-sports.io/football/teams/1615.png
"Monday, July 04 06:00 PM",dc united,orlando city sc,5 - 3,W,away,1656975600,https://media-2.api-sports.io/football/teams/1615.png
"Friday, July 08 06:30 PM",dc united,philadelphia union,0 - 7,L,away,1657323000,https://media-1.api-sports.io/football/teams/1615.png
"Wednesday, July 13 07:00 PM",dc united,columbus crew,2 - 2,tie,home,1657756800,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, July 16 07:00 PM",dc united,minnesota united fc,0 - 2,L,away,1658016000,https://media-3.api-sports.io/football/teams/1615.png
"Saturday, July 23 07:00 PM",dc united,montreal impact,2 - 1,L,home,1658620800,https://media-3.api-sports.io/football/teams/1615.png
"Sunday, July 31 04:00 PM",dc united,orlando city sc,1 - 2,W,home,1659301200,https://media-3.api-sports.io/football/teams/1615.png
"Wednesday, August 03 06:00 PM",dc united,charlotte,0 - 3,L,away,1659567600,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, August 06 06:30 PM",dc united,new york red bulls,0 - 0,tie,home,1659828600,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, August 13 06:30 PM",dc united,new england revolution,0 - 1,L,away,1660433400,https://media-3.api-sports.io/football/teams/1615.png
"Tuesday, August 16 09:30 PM",dc united,los angeles fc,0 - 1,L,away,1660703400,https://media-3.api-sports.io/football/teams/1615.png
"Saturday, August 20 06:30 PM",dc united,philadelphia union,6 - 0,L,home,1661038200,https://media-1.api-sports.io/football/teams/1615.png
"Sunday, August 28 03:00 PM",dc united,atlanta united fc,2 - 3,L,away,1661716800,https://media-1.api-sports.io/football/teams/1615.png
"Sunday, September 04 06:30 PM",dc united,colorado rapids,0 - 0,tie,home,1662334200,https://media-3.api-sports.io/football/teams/1615.png
"Saturday, September 10 08:30 PM",dc united,real salt lake,0 - 0,tie,away,1662859800,https://media-3.api-sports.io/football/teams/1615.png
"Tuesday, September 13 07:30 PM",dc united,sporting kansas city,0 - 3,L,away,1663115400,https://media-1.api-sports.io/football/teams/1615.png
"Sunday, September 18 04:00 PM",dc united,inter miami,3 - 2,L,home,1663534800,https://media-1.api-sports.io/football/teams/1615.png
"Saturday, October 01 06:30 PM",dc united,montreal impact,0 - 1,L,away,1664667000,https://media-1.api-sports.io/football/teams/1615.png
"Sunday, October 09 01:30 PM",dc united,fc cincinnati,5 - 2,L,home,1665340200,https://media-3.api-sports.io/football/teams/1615.png
