Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, February 27 04:00 PM",los angeles galaxy,new york city fc,0 - 1,W,home,1645999200,https://media-2.api-sports.io/football/teams/1605.png
"Saturday, March 05 06:30 PM",los angeles galaxy,charlotte,1 - 0,W,away,1646526600,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, March 12 02:30 PM",los angeles galaxy,seattle sounders,2 - 3,L,away,1647117000,https://media-1.api-sports.io/football/teams/1605.png
"Saturday, March 19 02:30 PM",los angeles galaxy,orlando city sc,1 - 0,L,home,1647718200,https://media-1.api-sports.io/football/teams/1605.png
"Sunday, April 03 03:30 PM",los angeles galaxy,portland timbers,3 - 1,W,away,1649017800,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, April 09 06:30 PM",los angeles galaxy,los angeles fc,1 - 2,W,home,1649547000,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, April 16 07:00 PM",los angeles galaxy,chicago fire,0 - 0,tie,away,1650153600,https://media-1.api-sports.io/football/teams/1605.png
"Saturday, April 23 09:30 PM",los angeles galaxy,nashville sc,0 - 1,W,home,1650767400,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, April 30 02:30 PM",los angeles galaxy,real salt lake,0 - 1,L,away,1651347000,https://media-3.api-sports.io/football/teams/1605.png
"Sunday, May 08 06:00 PM",los angeles galaxy,austin,1 - 0,W,away,1652050800,https://media-1.api-sports.io/football/teams/1605.png
"Saturday, May 14 09:30 PM",los angeles galaxy,fc dallas,3 - 1,L,home,1652581800,https://media-2.api-sports.io/football/teams/1605.png
"Wednesday, May 18 07:00 PM",los angeles galaxy,minnesota united fc,1 - 1,tie,away,1652918400,https://media-2.api-sports.io/football/teams/1605.png
"Sunday, May 22 07:00 PM",los angeles galaxy,houston dynamo,3 - 0,L,home,1653264000,https://media-2.api-sports.io/football/teams/1605.png
"Sunday, May 29 05:00 PM",los angeles galaxy,austin,1 - 4,W,home,1653861600,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, June 18 04:00 PM",los angeles galaxy,portland timbers,1 - 1,tie,home,1655586000,https://media-2.api-sports.io/football/teams/1605.png
"Saturday, September 24 09:00 PM",los angeles galaxy,san jose earthquakes,3 - 2,W,away,1664071200,https://media-1.api-sports.io/football/teams/1605.png
"Monday, July 04 09:30 PM",los angeles galaxy,montreal impact,0 - 4,W,home,1656988200,https://media-3.api-sports.io/football/teams/1605.png
"Friday, July 08 09:00 PM",los angeles galaxy,los angeles fc,2 - 3,L,away,1657332000,https://media-1.api-sports.io/football/teams/1605.png
"Wednesday, July 13 09:00 PM",los angeles galaxy,san jose earthquakes,3 - 2,L,home,1657764000,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, July 16 08:00 PM",los angeles galaxy,colorado rapids,0 - 2,L,away,1658019600,https://media-2.api-sports.io/football/teams/1605.png
"Sunday, July 24 08:30 PM",los angeles galaxy,atlanta united fc,0 - 2,W,home,1658712600,https://media-2.api-sports.io/football/teams/1605.png
"Saturday, July 30 08:00 PM",los angeles galaxy,fc dallas,0 - 1,L,away,1659229200,https://media-1.api-sports.io/football/teams/1605.png
"Wednesday, June 29 09:30 PM",los angeles galaxy,minnesota united fc,3 - 2,L,home,1656556200,https://media-1.api-sports.io/football/teams/1605.png
"Saturday, August 06 07:30 PM",los angeles galaxy,sporting kansas city,2 - 4,L,away,1659832200,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, August 13 09:00 PM",los angeles galaxy,vancouver whitecaps,2 - 5,W,home,1660442400,https://media-1.api-sports.io/football/teams/1605.png
"Friday, August 19 09:00 PM",los angeles galaxy,seattle sounders,3 - 3,tie,home,1660960800,https://media-1.api-sports.io/football/teams/1605.png
"Sunday, August 28 07:00 PM",los angeles galaxy,new england revolution,2 - 1,W,away,1661731200,https://media-3.api-sports.io/football/teams/1605.png
"Wednesday, August 31 06:30 PM",los angeles galaxy,toronto fc,2 - 2,tie,away,1661988600,https://media-2.api-sports.io/football/teams/1605.png
"Sunday, September 04 07:00 PM",los angeles galaxy,sporting kansas city,2 - 2,tie,home,1662336000,https://media-2.api-sports.io/football/teams/1605.png
"Saturday, September 10 02:30 PM",los angeles galaxy,nashville sc,1 - 1,tie,away,1662838200,https://media-3.api-sports.io/football/teams/1605.png
"Wednesday, September 14 09:00 PM",los angeles galaxy,vancouver whitecaps,0 - 3,L,away,1663207200,https://media-2.api-sports.io/football/teams/1605.png
"Saturday, September 17 09:30 PM",los angeles galaxy,colorado rapids,1 - 4,W,home,1663468200,https://media-2.api-sports.io/football/teams/1605.png
"Saturday, October 01 09:30 PM",los angeles galaxy,real salt lake,1 - 1,tie,home,1664677800,https://media-1.api-sports.io/football/teams/1605.png
"Sunday, October 09 04:00 PM",los angeles galaxy,houston dynamo,3 - 1,W,away,1665349200,https://media-3.api-sports.io/football/teams/1605.png
"Saturday, October 15 02:00 PM",los angeles galaxy,nashville sc,0 - 1,W,home,1665860400,https://media-3.api-sports.io/football/teams/1605.png
"Thursday, October 20 09:00 PM",los angeles galaxy,los angeles fc,2 - 3,L,away,1666317600,https://media-2.api-sports.io/football/teams/1605.png
