Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-10-05T23:00:00+00:00,indiana pacers,charlotte hornets,122 - 97,W,away,1665010800,https://media-2.api-sports.io/basketball/teams/143.png
2022-10-07T23:30:00+00:00,indiana pacers,new york knicks,114 - 131,L,away,1665185400,https://media-3.api-sports.io/basketball/teams/143.png
2022-10-12T23:00:00+00:00,indiana pacers,new york knicks,100 - 109,W,home,1665615600,https://media-2.api-sports.io/basketball/teams/143.png
2022-10-14T23:00:00+00:00,indiana pacers,houston rockets,122 - 114,L,home,1665788400,https://media-3.api-sports.io/basketball/teams/143.png
2022-10-19T23:00:00+00:00,indiana pacers,washington wizards,114 - 107,L,home,1666220400,https://media-2.api-sports.io/basketball/teams/143.png
2022-10-21T23:00:00+00:00,indiana pacers,san antonio spurs,137 - 134,L,home,1666393200,https://media-1.api-sports.io/basketball/teams/143.png
2022-10-22T23:00:00+00:00,indiana pacers,detroit pistons,115 - 124,W,home,1666479600,https://media-1.api-sports.io/basketball/teams/143.png
2022-10-24T23:00:00+00:00,indiana pacers,philadelphia 76ers,106 - 120,L,away,1666652400,https://media-2.api-sports.io/basketball/teams/143.png
2022-10-27T00:00:00+00:00,indiana pacers,chicago bulls,109 - 124,L,away,1666828800,https://media-3.api-sports.io/basketball/teams/143.png
2022-10-28T23:30:00+00:00,indiana pacers,washington wizards,127 - 117,W,away,1666999800,https://media-2.api-sports.io/basketball/teams/143.png
2022-10-29T23:30:00+00:00,indiana pacers,brooklyn nets,125 - 116,W,away,1667086200,https://media-2.api-sports.io/basketball/teams/143.png
2022-10-31T23:30:00+00:00,indiana pacers,brooklyn nets,109 - 116,L,away,1667259000,https://media-1.api-sports.io/basketball/teams/143.png
2022-11-04T23:00:00+00:00,indiana pacers,miami heat,99 - 101,W,home,1667602800,https://media-1.api-sports.io/basketball/teams/143.png
2022-11-08T00:45:00+00:00,indiana pacers,new orleans pelicans,122 - 129,W,home,1667868300,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-10T00:00:00+00:00,indiana pacers,denver nuggets,122 - 119,L,home,1668038400,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-13T00:00:00+00:00,indiana pacers,toronto raptors,104 - 118,W,home,1668297600,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-17T00:00:00+00:00,indiana pacers,charlotte hornets,125 - 113,W,away,1668643200,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-19T01:00:00+00:00,indiana pacers,houston rockets,99 - 91,W,away,1668819600,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-20T00:00:00+00:00,indiana pacers,orlando magic,113 - 114,W,home,1668902400,https://media-2.api-sports.io/basketball/teams/143.png
2022-11-22T00:00:00+00:00,indiana pacers,orlando magic,102 - 123,W,home,1669075200,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-24T00:00:00+00:00,indiana pacers,minnesota timberwolves,115 - 101,L,home,1669248000,https://media-2.api-sports.io/basketball/teams/143.png
2022-11-26T01:00:00+00:00,indiana pacers,brooklyn nets,117 - 128,W,home,1669424400,https://media-1.api-sports.io/basketball/teams/143.png
2022-11-27T21:00:00+00:00,indiana pacers,los angeles clippers,100 - 114,L,away,1669582800,https://media-3.api-sports.io/basketball/teams/143.png
2022-11-29T03:30:00+00:00,indiana pacers,los angeles lakers,116 - 115,W,away,1669692600,https://media-1.api-sports.io/basketball/teams/143.png
2022-12-01T03:00:00+00:00,indiana pacers,sacramento kings,114 - 137,L,away,1669863600,https://media-3.api-sports.io/basketball/teams/143.png
2022-12-03T02:00:00+00:00,indiana pacers,utah jazz,119 - 139,L,away,1670032800,https://media-1.api-sports.io/basketball/teams/143.png
