Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-10-04T02:30:00+00:00,los angeles clippers,portland trail blazers,97 - 102,W,home,1664850600,https://media-3.api-sports.io/basketball/teams/144.png
2022-10-10T02:30:00+00:00,los angeles clippers,minnesota timberwolves,119 - 117,L,home,1665369000,https://media-3.api-sports.io/basketball/teams/144.png
2022-10-13T02:30:00+00:00,los angeles clippers,denver nuggets,126 - 115,L,home,1665628200,https://media-2.api-sports.io/basketball/teams/144.png
2022-10-21T02:00:00+00:00,los angeles clippers,los angeles lakers,103 - 97,W,away,1666317600,https://media-2.api-sports.io/basketball/teams/144.png
2022-10-23T02:00:00+00:00,los angeles clippers,sacramento kings,111 - 109,W,away,1666490400,https://media-3.api-sports.io/basketball/teams/144.png
2022-10-24T02:00:00+00:00,los angeles clippers,phoenix suns,112 - 95,L,home,1666576800,https://media-2.api-sports.io/basketball/teams/144.png
2022-10-26T00:00:00+00:00,los angeles clippers,oklahoma city thunder,94 - 108,L,away,1666742400,https://media-3.api-sports.io/basketball/teams/144.png
2022-10-28T00:00:00+00:00,los angeles clippers,oklahoma city thunder,110 - 118,L,away,1666915200,https://media-1.api-sports.io/basketball/teams/144.png
2022-10-30T19:00:00+00:00,los angeles clippers,new orleans pelicans,112 - 91,L,home,1667156400,https://media-2.api-sports.io/basketball/teams/144.png
2022-11-01T02:30:00+00:00,los angeles clippers,houston rockets,93 - 95,W,home,1667269800,https://media-2.api-sports.io/basketball/teams/144.png
2022-11-03T00:00:00+00:00,los angeles clippers,houston rockets,109 - 101,W,away,1667433600,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-05T00:00:00+00:00,los angeles clippers,san antonio spurs,113 - 106,W,away,1667606400,https://media-3.api-sports.io/basketball/teams/144.png
2022-11-07T03:00:00+00:00,los angeles clippers,utah jazz,110 - 102,L,home,1667790000,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-08T03:30:00+00:00,los angeles clippers,cleveland cavaliers,117 - 119,W,home,1667878200,https://media-2.api-sports.io/basketball/teams/144.png
2022-11-10T03:00:00+00:00,los angeles clippers,los angeles lakers,101 - 114,W,home,1668049200,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-12T21:00:00+00:00,los angeles clippers,brooklyn nets,110 - 95,L,home,1668286800,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-15T01:00:00+00:00,los angeles clippers,houston rockets,122 - 106,W,away,1668474000,https://media-3.api-sports.io/basketball/teams/144.png
2022-11-16T01:30:00+00:00,los angeles clippers,dallas mavericks,101 - 103,L,away,1668562200,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-18T03:30:00+00:00,los angeles clippers,detroit pistons,91 - 96,W,home,1668742200,https://media-2.api-sports.io/basketball/teams/144.png
2022-11-20T03:30:00+00:00,los angeles clippers,san antonio spurs,97 - 119,W,home,1668915000,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-22T03:30:00+00:00,los angeles clippers,utah jazz,114 - 121,W,home,1669087800,https://media-1.api-sports.io/basketball/teams/144.png
2022-11-24T03:00:00+00:00,los angeles clippers,golden state warriors,107 - 124,L,away,1669258800,https://media-3.api-sports.io/basketball/teams/144.png
2022-11-26T03:30:00+00:00,los angeles clippers,denver nuggets,114 - 104,L,home,1669433400,https://media-2.api-sports.io/basketball/teams/144.png
2022-11-27T21:00:00+00:00,los angeles clippers,indiana pacers,100 - 114,W,home,1669582800,https://media-3.api-sports.io/basketball/teams/144.png
2022-11-30T03:00:00+00:00,los angeles clippers,portland trail blazers,118 - 112,W,away,1669777200,https://media-2.api-sports.io/basketball/teams/144.png
2022-12-01T02:00:00+00:00,los angeles clippers,utah jazz,112 - 125,L,away,1669860000,https://media-3.api-sports.io/basketball/teams/144.png
2022-12-03T21:00:00+00:00,los angeles clippers,sacramento kings,123 - 96,L,home,1670101200,https://media-1.api-sports.io/basketball/teams/144.png
