Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-10-06T02:00:00+00:00,phoenix suns,los angeles lakers,119 - 115,W,away,1665021600,https://media-2.api-sports.io/basketball/teams/155.png
2022-10-11T01:00:00+00:00,phoenix suns,denver nuggets,105 - 107,L,away,1665450000,https://media-2.api-sports.io/basketball/teams/155.png
2022-10-13T02:00:00+00:00,phoenix suns,sacramento kings,105 - 104,L,home,1665626400,https://media-3.api-sports.io/basketball/teams/155.png
2022-10-20T02:00:00+00:00,phoenix suns,dallas mavericks,105 - 107,W,home,1666231200,https://media-2.api-sports.io/basketball/teams/155.png
2022-10-22T02:00:00+00:00,phoenix suns,portland trail blazers,111 - 113,L,away,1666404000,https://media-1.api-sports.io/basketball/teams/155.png
2022-10-24T02:00:00+00:00,phoenix suns,los angeles clippers,112 - 95,W,away,1666576800,https://media-1.api-sports.io/basketball/teams/155.png
2022-10-26T02:00:00+00:00,phoenix suns,golden state warriors,105 - 134,W,home,1666749600,https://media-3.api-sports.io/basketball/teams/155.png
2022-10-29T02:00:00+00:00,phoenix suns,new orleans pelicans,111 - 124,W,home,1667008800,https://media-1.api-sports.io/basketball/teams/155.png
2022-10-31T01:00:00+00:00,phoenix suns,houston rockets,109 - 124,W,home,1667178000,https://media-3.api-sports.io/basketball/teams/155.png
2022-11-02T02:00:00+00:00,phoenix suns,minnesota timberwolves,107 - 116,W,home,1667354400,https://media-2.api-sports.io/basketball/teams/155.png
2022-11-05T02:00:00+00:00,phoenix suns,portland trail blazers,108 - 106,L,home,1667613600,https://media-2.api-sports.io/basketball/teams/155.png
2022-11-06T02:00:00+00:00,phoenix suns,portland trail blazers,82 - 102,W,home,1667700000,https://media-3.api-sports.io/basketball/teams/155.png
2022-11-08T01:00:00+00:00,phoenix suns,philadelphia 76ers,88 - 100,L,away,1667869200,https://media-1.api-sports.io/basketball/teams/155.png
2022-11-10T01:00:00+00:00,phoenix suns,minnesota timberwolves,129 - 117,W,away,1668042000,https://media-3.api-sports.io/basketball/teams/155.png
2022-11-12T00:00:00+00:00,phoenix suns,orlando magic,97 - 114,L,away,1668211200,https://media-3.api-sports.io/basketball/teams/155.png
2022-11-15T00:30:00+00:00,phoenix suns,miami heat,112 - 113,L,away,1668472200,https://media-3.api-sports.io/basketball/teams/155.png
