Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,air force,northern iowa,17 - 48,W,home,1662224400,https://media-3.api-sports.io/american-football/teams/149.png
2022-09-10,air force,colorado,10 - 41,W,home,1662838200,https://media-2.api-sports.io/american-football/teams/149.png
2022-09-16,air force,wyoming,14 - 17,L,away,1663286400,https://media-3.api-sports.io/american-football/teams/149.png
2022-09-23,air force,nevada,20 - 48,W,home,1663891200,https://media-1.api-sports.io/american-football/teams/149.png
2022-10-01,air force,navy,10 - 13,W,home,1664640000,https://media-3.api-sports.io/american-football/teams/149.png
2022-10-08,air force,utah state,27 - 34,L,away,1665270000,https://media-2.api-sports.io/american-football/teams/149.png
2022-10-15,air force,unlv,42 - 7,W,away,1665801000,https://media-1.api-sports.io/american-football/teams/149.png
2022-10-22,air force,boise state,19 - 14,L,home,1666479600,https://media-3.api-sports.io/american-football/teams/149.png
2022-11-05,air force,army,13 - 7,W,away,1667662200,https://media-2.api-sports.io/american-football/teams/149.png
2022-11-12,air force,new mexico,3 - 35,W,home,1668285000,https://media-1.api-sports.io/american-football/teams/149.png
2022-11-19,air force,colorado state,12 - 24,W,home,1668823200,https://media-2.api-sports.io/american-football/teams/149.png
2022-11-26,air force,san diego state,13 - 3,W,away,1669428000,https://media-2.api-sports.io/american-football/teams/149.png
2022-12-23,air force,baylor,15 - 30,W,home,1671755400,https://media-3.api-sports.io/american-football/teams/149.png
