Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,alabama a&m,uab,0 - 59,L,away,1661990400,https://media-3.api-sports.io/american-football/teams/82.png
2022-09-10,alabama a&m,troy,17 - 38,L,away,1662850800,https://media-3.api-sports.io/american-football/teams/82.png
2022-09-17,alabama a&m,austin peay,28 - 3,L,home,1663441200,https://media-3.api-sports.io/american-football/teams/82.png
2022-09-24,alabama a&m,florida a&m,25 - 38,L,away,1664056800,https://media-3.api-sports.io/american-football/teams/82.png
2022-10-01,alabama a&m,bethune-cookman,27 - 35,W,home,1664650800,https://media-2.api-sports.io/american-football/teams/82.png
2022-10-08,alabama a&m,grambling,31 - 37,W,home,1665252000,https://media-1.api-sports.io/american-football/teams/82.png
2022-10-16,alabama a&m,arkansas-pine bluff,34 - 31,W,away,1665950400,https://media-2.api-sports.io/american-football/teams/82.png
2022-10-29,alabama a&m,alabama state,24 - 17,L,home,1667071800,https://media-2.api-sports.io/american-football/teams/82.png
2022-11-03,alabama a&m,mississippi valley state,20 - 30,L,away,1667518200,https://media-2.api-sports.io/american-football/teams/82.png
2022-11-12,alabama a&m,jackson state,13 - 27,L,away,1668290400,https://media-2.api-sports.io/american-football/teams/82.png
2022-11-19,alabama a&m,texas southern,20 - 24,W,home,1668884400,https://media-3.api-sports.io/american-football/teams/82.png
