Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,appalachian state,north carolina,63 - 61,L,home,1662220800,https://media-1.api-sports.io/american-football/teams/144.png
2022-09-10,appalachian state,texas a&m,17 - 14,W,away,1662838200,https://media-1.api-sports.io/american-football/teams/144.png
2022-09-17,appalachian state,troy,28 - 32,W,home,1663443000,https://media-2.api-sports.io/american-football/teams/144.png
2022-09-24,appalachian state,james madison,32 - 28,L,home,1664047800,https://media-2.api-sports.io/american-football/teams/144.png
2022-10-01,appalachian state,the citadel,0 - 49,W,home,1664652600,https://media-1.api-sports.io/american-football/teams/144.png
2022-10-08,appalachian state,texas state,24 - 36,L,away,1665270000,https://media-3.api-sports.io/american-football/teams/144.png
2022-10-19,appalachian state,georgia state,17 - 42,W,home,1666222200,https://media-2.api-sports.io/american-football/teams/144.png
2022-10-29,appalachian state,robert morris,3 - 42,W,home,1667071800,https://media-2.api-sports.io/american-football/teams/144.png
2022-11-03,appalachian state,coastal carolina,28 - 35,L,away,1667518200,https://media-2.api-sports.io/american-football/teams/144.png
2022-11-12,appalachian state,marshall,21 - 28,L,away,1668285000,https://media-2.api-sports.io/american-football/teams/144.png
2022-11-19,appalachian state,old dominion,14 - 27,W,home,1668886200,https://media-3.api-sports.io/american-football/teams/144.png
2022-11-26,appalachian state,georgia southern,48 - 51,L,away,1669503600,https://media-1.api-sports.io/american-football/teams/144.png
