Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,arizona state,northern arizona,3 - 40,W,home,1661997600,https://media-2.api-sports.io/american-football/teams/86.png
2022-09-10,arizona state,oklahoma state,17 - 34,L,away,1662852600,https://media-2.api-sports.io/american-football/teams/86.png
2022-09-17,arizona state,eastern michigan,30 - 21,L,home,1663383600,https://media-2.api-sports.io/american-football/teams/86.png
2022-09-24,arizona state,utah,34 - 13,L,home,1663986600,https://media-1.api-sports.io/american-football/teams/86.png
2022-10-01,arizona state,usc,25 - 42,L,away,1664592000,https://media-2.api-sports.io/american-football/teams/86.png
2022-10-08,arizona state,washington,38 - 45,W,home,1665259200,https://media-1.api-sports.io/american-football/teams/86.png
2022-10-22,arizona state,stanford,14 - 15,L,away,1666468800,https://media-1.api-sports.io/american-football/teams/86.png
2022-10-29,arizona state,colorado,42 - 34,W,away,1667086200,https://media-2.api-sports.io/american-football/teams/86.png
2022-11-05,arizona state,ucla,50 - 36,L,home,1667615400,https://media-1.api-sports.io/american-football/teams/86.png
2022-11-12,arizona state,washington state,18 - 28,L,away,1668285000,https://media-2.api-sports.io/american-football/teams/86.png
2022-11-19,arizona state,oregon state,31 - 7,L,home,1668885300,https://media-3.api-sports.io/american-football/teams/86.png
2022-11-25,arizona state,arizona,35 - 38,L,away,1669406400,https://media-3.api-sports.io/american-football/teams/86.png
