Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,arkansas-pine bluff,lane,42 - 48,W,home,1662246000,https://media-1.api-sports.io/american-football/teams/237.png
2022-09-10,arkansas-pine bluff,north american university,3 - 76,W,home,1662850800,https://media-2.api-sports.io/american-football/teams/237.png
2022-09-17,arkansas-pine bluff,oklahoma state,7 - 63,L,away,1663455600,https://media-2.api-sports.io/american-football/teams/237.png
2022-09-24,arkansas-pine bluff,alcorn state,21 - 38,L,away,1664060400,https://media-2.api-sports.io/american-football/teams/237.png
2022-10-01,arkansas-pine bluff,southern,3 - 59,L,away,1664665200,https://media-1.api-sports.io/american-football/teams/237.png
2022-10-08,arkansas-pine bluff,texas southern,24 - 17,L,home,1665255600,https://media-2.api-sports.io/american-football/teams/237.png
2022-10-16,arkansas-pine bluff,alabama a&m,34 - 31,L,home,1665950400,https://media-3.api-sports.io/american-football/teams/237.png
2022-10-29,arkansas-pine bluff,florida a&m,6 - 27,L,away,1667073600,https://media-1.api-sports.io/american-football/teams/237.png
2022-11-05,arkansas-pine bluff,grambling,10 - 36,L,away,1667674800,https://media-2.api-sports.io/american-football/teams/237.png
2022-11-12,arkansas-pine bluff,prairie view a&m,55 - 24,L,home,1668283200,https://media-2.api-sports.io/american-football/teams/237.png
2022-11-24,arkansas-pine bluff,alabama state,19 - 14,W,away,1669320000,https://media-1.api-sports.io/american-football/teams/237.png
