Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,arkansas state,grambling,3 - 58,W,home,1662246000,https://media-1.api-sports.io/american-football/teams/184.png
2022-09-10,arkansas state,ohio state,12 - 45,L,away,1662825600,https://media-3.api-sports.io/american-football/teams/184.png
2022-09-17,arkansas state,memphis,32 - 44,L,away,1663455600,https://media-3.api-sports.io/american-football/teams/184.png
2022-09-24,arkansas state,old dominion,26 - 29,L,away,1664056800,https://media-3.api-sports.io/american-football/teams/184.png
2022-10-01,arkansas state,ul monroe,28 - 45,W,home,1664665200,https://media-3.api-sports.io/american-football/teams/184.png
2022-10-08,arkansas state,james madison,42 - 20,L,home,1665270000,https://media-3.api-sports.io/american-football/teams/184.png
2022-10-15,arkansas state,southern miss,19 - 20,L,away,1665874800,https://media-1.api-sports.io/american-football/teams/184.png
2022-10-22,arkansas state,louisiana,18 - 38,L,away,1666472400,https://media-2.api-sports.io/american-football/teams/184.png
2022-10-29,arkansas state,south alabama,31 - 3,L,home,1667073600,https://media-3.api-sports.io/american-football/teams/184.png
2022-11-12,arkansas state,umass,33 - 35,W,home,1668283200,https://media-3.api-sports.io/american-football/teams/184.png
2022-11-19,arkansas state,texas state,13 - 16,L,away,1668895200,https://media-1.api-sports.io/american-football/teams/184.png
2022-11-26,arkansas state,troy,48 - 19,L,home,1669494600,https://media-3.api-sports.io/american-football/teams/184.png
