Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,arkansas,cincinnati,24 - 31,W,home,1662233400,https://media-1.api-sports.io/american-football/teams/127.png
2022-09-10,arkansas,south carolina,30 - 44,W,home,1662825600,https://media-2.api-sports.io/american-football/teams/127.png
2022-09-17,arkansas,missouri state,27 - 38,W,home,1663455600,https://media-1.api-sports.io/american-football/teams/127.png
2022-09-24,arkansas,texas a&m,21 - 23,L,away,1664060400,https://media-3.api-sports.io/american-football/teams/127.png
2022-10-01,arkansas,alabama,49 - 26,L,home,1664652600,https://media-2.api-sports.io/american-football/teams/127.png
2022-10-08,arkansas,mississippi state,17 - 40,L,away,1665244800,https://media-3.api-sports.io/american-football/teams/127.png
2022-10-15,arkansas,byu,52 - 35,W,away,1665862200,https://media-3.api-sports.io/american-football/teams/127.png
2022-10-29,arkansas,auburn,41 - 27,W,away,1667059200,https://media-2.api-sports.io/american-football/teams/127.png
2022-11-05,arkansas,liberty,21 - 19,L,home,1667678400,https://media-2.api-sports.io/american-football/teams/127.png
2022-11-12,arkansas,lsu,13 - 10,L,home,1668272400,https://media-3.api-sports.io/american-football/teams/127.png
2022-11-19,arkansas,ole miss,27 - 42,W,home,1668817800,https://media-3.api-sports.io/american-football/teams/127.png
2022-11-25,arkansas,missouri,27 - 29,L,away,1669408200,https://media-2.api-sports.io/american-football/teams/127.png
2022-12-28,arkansas,kansas,53 - 55,W,home,1672266600,https://media-3.api-sports.io/american-football/teams/127.png
