Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,bloomsburg,stonehill,33 - 30,L,home,1662228000,https://media-2.api-sports.io/american-football/teams/286.png
2022-09-17,bloomsburg,edinboro,,,away,1663430400,https://media-3.api-sports.io/american-football/teams/286.png
2022-09-24,bloomsburg,shippensburg,,,home,1664042400,https://media-1.api-sports.io/american-football/teams/286.png
2022-10-01,bloomsburg,west chester,,,home,1664661600,https://media-2.api-sports.io/american-football/teams/286.png
2022-10-08,bloomsburg,kutztown,,,away,1665244800,https://media-3.api-sports.io/american-football/teams/286.png
2022-10-15,bloomsburg,lock haven,,,away,1665853200,https://media-2.api-sports.io/american-football/teams/286.png
2022-10-22,bloomsburg,east stroudsburg,,,home,1666461600,https://media-3.api-sports.io/american-football/teams/286.png
2022-10-29,bloomsburg,shepherd,,,away,1667059200,https://media-2.api-sports.io/american-football/teams/286.png
2022-11-05,bloomsburg,millersville university,,,home,1667671200,https://media-1.api-sports.io/american-football/teams/286.png
2022-11-12,bloomsburg,indiana (pa),,,away,1668279600,https://media-1.api-sports.io/american-football/teams/286.png
