Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,boise state,oregon state,17 - 34,L,away,1662172200,https://media-2.api-sports.io/american-football/teams/204.png
2022-09-09,boise state,new mexico,31 - 14,W,away,1662685200,https://media-3.api-sports.io/american-football/teams/204.png
2022-09-17,boise state,ut martin,7 - 30,W,home,1663444800,https://media-1.api-sports.io/american-football/teams/204.png
2022-09-23,boise state,utep,10 - 27,L,away,1663894800,https://media-3.api-sports.io/american-football/teams/204.png
2022-09-30,boise state,san diego state,13 - 35,W,home,1664496000,https://media-3.api-sports.io/american-football/teams/204.png
2022-10-08,boise state,fresno state,20 - 40,W,home,1665193500,https://media-3.api-sports.io/american-football/teams/204.png
2022-10-22,boise state,air force,19 - 14,W,away,1666479600,https://media-3.api-sports.io/american-football/teams/204.png
2022-10-29,boise state,colorado state,10 - 49,W,home,1667084400,https://media-1.api-sports.io/american-football/teams/204.png
2022-11-05,boise state,byu,31 - 28,L,home,1667689200,https://media-2.api-sports.io/american-football/teams/204.png
2022-11-12,boise state,nevada,41 - 3,W,away,1668223800,https://media-3.api-sports.io/american-football/teams/204.png
2022-11-19,boise state,wyoming,20 - 17,W,away,1668816000,https://media-1.api-sports.io/american-football/teams/204.png
2022-11-25,boise state,utah state,23 - 42,W,home,1669395600,https://media-2.api-sports.io/american-football/teams/204.png
2022-12-03,boise state,fresno state,28 - 16,L,home,1670101200,https://media-2.api-sports.io/american-football/teams/204.png
2022-12-18,boise state,north texas,32 - 35,W,home,1671329700,https://media-3.api-sports.io/american-football/teams/204.png
