Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,byu,south florida,50 - 21,W,away,1662235200,https://media-2.api-sports.io/american-football/teams/136.png
2022-09-10,byu,baylor,20 - 26,W,home,1662776100,https://media-2.api-sports.io/american-football/teams/136.png
2022-09-17,byu,oregon,20 - 41,L,away,1663443000,https://media-1.api-sports.io/american-football/teams/136.png
2022-09-24,byu,wyoming,24 - 38,W,home,1663985700,https://media-1.api-sports.io/american-football/teams/136.png
2022-09-29,byu,utah state,26 - 38,W,home,1664409600,https://media-1.api-sports.io/american-football/teams/136.png
2022-10-08,byu,notre dame,20 - 28,L,away,1665271800,https://media-1.api-sports.io/american-football/teams/136.png
2022-10-15,byu,arkansas,52 - 35,L,home,1665862200,https://media-3.api-sports.io/american-football/teams/136.png
2022-10-22,byu,liberty,14 - 41,L,away,1666467000,https://media-2.api-sports.io/american-football/teams/136.png
2022-10-28,byu,east carolina,27 - 24,L,home,1666915200,https://media-1.api-sports.io/american-football/teams/136.png
2022-11-05,byu,boise state,31 - 28,W,away,1667689200,https://media-3.api-sports.io/american-football/teams/136.png
2022-11-19,byu,utah tech,26 - 52,W,home,1668889800,https://media-1.api-sports.io/american-football/teams/136.png
2022-11-26,byu,stanford,35 - 26,W,away,1669435200,https://media-3.api-sports.io/american-football/teams/136.png
2022-12-18,byu,smu,23 - 24,W,home,1671323400,https://media-1.api-sports.io/american-football/teams/136.png
