Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,cal poly,fresno state,7 - 35,L,away,1661999400,https://media-1.api-sports.io/american-football/teams/89.png
2022-09-10,cal poly,san diego,27 - 28,W,home,1662843600,https://media-2.api-sports.io/american-football/teams/89.png
2022-09-17,cal poly,south dakota,21 - 38,L,away,1663437600,https://media-3.api-sports.io/american-football/teams/89.png
2022-10-01,cal poly,sacramento state,49 - 21,L,home,1664582400,https://media-3.api-sports.io/american-football/teams/89.png
2022-10-08,cal poly,northern arizona,29 - 31,L,away,1665259200,https://media-1.api-sports.io/american-football/teams/89.png
2022-10-15,cal poly,idaho state,31 - 40,L,away,1665860400,https://media-1.api-sports.io/american-football/teams/89.png
2022-10-22,cal poly,eastern washington,17 - 10,L,home,1666396800,https://media-2.api-sports.io/american-football/teams/89.png
2022-10-29,cal poly,uc davis,17 - 59,L,away,1667084400,https://media-2.api-sports.io/american-football/teams/89.png
2022-11-05,cal poly,montana,0 - 57,L,away,1667606400,https://media-2.api-sports.io/american-football/teams/89.png
2022-11-12,cal poly,montana state,72 - 28,L,home,1668214800,https://media-2.api-sports.io/american-football/teams/89.png
2022-11-19,cal poly,portland state,42 - 49,W,home,1668819600,https://media-1.api-sports.io/american-football/teams/89.png
