Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,central connecticut,uconn,3 - 28,L,away,1662220800,https://media-1.api-sports.io/american-football/teams/137.png
2022-09-10,central connecticut,sacred heart,14 - 10,L,home,1662847200,https://media-3.api-sports.io/american-football/teams/137.png
2022-09-17,central connecticut,se louisiana,6 - 70,L,away,1663455600,https://media-3.api-sports.io/american-football/teams/137.png
2022-09-24,central connecticut,albany,26 - 45,L,away,1664047800,https://media-1.api-sports.io/american-football/teams/137.png
2022-10-01,central connecticut,st. francis (pa),13 - 39,L,away,1664640000,https://media-2.api-sports.io/american-football/teams/137.png
2022-10-08,central connecticut,brown,27 - 20,L,home,1665248400,https://media-3.api-sports.io/american-football/teams/137.png
2022-10-22,central connecticut,duquesne,30 - 6,L,home,1666454400,https://media-1.api-sports.io/american-football/teams/137.png
2022-10-29,central connecticut,wagner,7 - 34,W,home,1667059200,https://media-2.api-sports.io/american-football/teams/137.png
2022-11-05,central connecticut,long island university,20 - 29,L,away,1667667600,https://media-2.api-sports.io/american-football/teams/137.png
2022-11-12,central connecticut,merrimack,20 - 14,L,home,1668272400,https://media-3.api-sports.io/american-football/teams/137.png
2022-11-19,central connecticut,stonehill,39 - 14,W,away,1668880800,https://media-3.api-sports.io/american-football/teams/137.png
