Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-10,chadron state,utah tech,10 - 56,L,away,1662771600,https://media-2.api-sports.io/american-football/teams/319.png
2022-09-18,chadron state,black hills state,,,home,1663459200,https://media-3.api-sports.io/american-football/teams/319.png
2022-09-24,chadron state,western colorado,,,away,1664046000,https://media-2.api-sports.io/american-football/teams/319.png
2022-10-01,chadron state,colorado school of mines,,,home,1664650800,https://media-3.api-sports.io/american-football/teams/319.png
2022-10-08,chadron state,fort lewis,,,away,1665252000,https://media-1.api-sports.io/american-football/teams/319.png
2022-10-15,chadron state,adams state,,,home,1665856800,https://media-2.api-sports.io/american-football/teams/319.png
2022-10-22,chadron state,colorado state-pueblo,,,away,1666468800,https://media-1.api-sports.io/american-football/teams/319.png
2022-10-29,chadron state,new mexico highlands,,,home,1667066400,https://media-3.api-sports.io/american-football/teams/319.png
2022-11-05,chadron state,colorado mesa,,,home,1667671200,https://media-1.api-sports.io/american-football/teams/319.png
2022-11-12,chadron state,south dakota mines,,,away,1668279600,https://media-3.api-sports.io/american-football/teams/319.png
