Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,charleston southern,western carolina,52 - 38,L,home,1662220800,https://media-1.api-sports.io/american-football/teams/213.png
2022-09-10,charleston southern,nc state,3 - 55,L,away,1662827400,https://media-2.api-sports.io/american-football/teams/213.png
2022-09-17,charleston southern,eastern kentucky,17 - 40,L,away,1663452000,https://media-2.api-sports.io/american-football/teams/213.png
2022-09-24,charleston southern,furman,24 - 19,L,home,1664035200,https://media-2.api-sports.io/american-football/teams/213.png
2022-10-08,charleston southern,campbell,28 - 34,L,away,1665259200,https://media-1.api-sports.io/american-football/teams/213.png
2022-10-15,charleston southern,bryant,24 - 23,W,away,1665864000,https://media-3.api-sports.io/american-football/teams/213.png
2022-10-22,charleston southern,gardner-webb,28 - 14,L,home,1666476000,https://media-3.api-sports.io/american-football/teams/213.png
2022-10-29,charleston southern,kennesaw state,20 - 30,L,away,1667062800,https://media-1.api-sports.io/american-football/teams/213.png
2022-11-05,charleston southern,robert morris,21 - 34,W,home,1667664000,https://media-1.api-sports.io/american-football/teams/213.png
2022-11-12,charleston southern,north carolina a&t,10 - 20,L,away,1668272400,https://media-1.api-sports.io/american-football/teams/213.png
