Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,chattanooga,wofford,0 - 31,W,home,1662242400,https://media-3.api-sports.io/american-football/teams/255.png
2022-09-10,chattanooga,eastern illinois,38 - 20,W,away,1662850800,https://media-2.api-sports.io/american-football/teams/255.png
2022-09-17,chattanooga,north alabama,14 - 41,W,home,1663452000,https://media-2.api-sports.io/american-football/teams/255.png
2022-09-22,chattanooga,illinois,0 - 31,L,away,1663806600,https://media-2.api-sports.io/american-football/teams/255.png
2022-10-01,chattanooga,east tennessee state,24 - 16,W,away,1664650800,https://media-1.api-sports.io/american-football/teams/255.png
2022-10-15,chattanooga,vmi,13 - 41,W,home,1665855000,https://media-2.api-sports.io/american-football/teams/255.png
2022-10-22,chattanooga,mercer,21 - 41,W,home,1666459800,https://media-3.api-sports.io/american-football/teams/255.png
2022-10-29,chattanooga,furman,20 - 24,L,away,1667066400,https://media-1.api-sports.io/american-football/teams/255.png
2022-11-05,chattanooga,the citadel,31 - 21,W,away,1667671200,https://media-3.api-sports.io/american-football/teams/255.png
2022-11-12,chattanooga,samford,35 - 24,L,home,1668277800,https://media-3.api-sports.io/american-football/teams/255.png
2022-11-19,chattanooga,western carolina,29 - 32,L,away,1668880800,https://media-2.api-sports.io/american-football/teams/255.png
