Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,coastal carolina,army,28 - 38,W,home,1662246000,https://media-1.api-sports.io/american-football/teams/176.png
2022-09-10,coastal carolina,gardner-webb,27 - 31,W,home,1662847200,https://media-1.api-sports.io/american-football/teams/176.png
2022-09-17,coastal carolina,buffalo state,26 - 38,W,home,1663434000,https://media-3.api-sports.io/american-football/teams/176.png
2022-09-22,coastal carolina,georgia state,41 - 24,W,away,1663889400,https://media-3.api-sports.io/american-football/teams/176.png
2022-10-01,coastal carolina,georgia southern,30 - 34,W,home,1664665200,https://media-2.api-sports.io/american-football/teams/176.png
2022-10-08,coastal carolina,ul monroe,28 - 21,W,away,1665187200,https://media-3.api-sports.io/american-football/teams/176.png
2022-10-15,coastal carolina,old dominion,49 - 21,L,home,1665849600,https://media-2.api-sports.io/american-football/teams/176.png
2022-10-29,coastal carolina,marshall,24 - 13,W,away,1667084400,https://media-3.api-sports.io/american-football/teams/176.png
2022-11-03,coastal carolina,appalachian state,28 - 35,W,home,1667518200,https://media-1.api-sports.io/american-football/teams/176.png
2022-11-12,coastal carolina,southern miss,23 - 26,W,home,1668213000,https://media-2.api-sports.io/american-football/teams/176.png
2022-11-19,coastal carolina,virginia,None - None,tie,away,1668889800,https://media-2.api-sports.io/american-football/teams/176.png
2022-11-26,coastal carolina,james madison,7 - 47,L,away,1669482000,https://media-3.api-sports.io/american-football/teams/176.png
2022-12-03,coastal carolina,troy,26 - 45,L,away,1670099400,https://media-3.api-sports.io/american-football/teams/176.png
2022-12-27,coastal carolina,east carolina,29 - 53,L,away,1672184700,https://media-3.api-sports.io/american-football/teams/176.png
