Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,colgate,stanford,10 - 41,L,away,1662163200,https://media-3.api-sports.io/american-football/teams/192.png
2022-09-10,colgate,maine,21 - 18,W,away,1662829200,https://media-1.api-sports.io/american-football/teams/192.png
2022-09-17,colgate,pennsylvania,14 - 25,L,away,1663434000,https://media-1.api-sports.io/american-football/teams/192.png
2022-09-24,colgate,holy cross,35 - 10,L,home,1664038800,https://media-1.api-sports.io/american-football/teams/192.png
2022-10-01,colgate,cornell,34 - 31,L,home,1664643600,https://media-2.api-sports.io/american-football/teams/192.png
2022-10-15,colgate,army,17 - 42,L,away,1665849600,https://media-2.api-sports.io/american-football/teams/192.png
2022-10-22,colgate,georgetown,24 - 34,W,home,1666454400,https://media-2.api-sports.io/american-football/teams/192.png
2022-10-29,colgate,bucknell,13 - 7,W,away,1667062800,https://media-1.api-sports.io/american-football/teams/192.png
2022-11-05,colgate,lafayette,21 - 16,L,home,1667667600,https://media-2.api-sports.io/american-football/teams/192.png
2022-11-12,colgate,lehigh,33 - 36,L,away,1668272400,https://media-3.api-sports.io/american-football/teams/192.png
2022-11-19,colgate,fordham,38 - 52,L,away,1668880800,https://media-3.api-sports.io/american-football/teams/192.png
