Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,colorado state,michigan,7 - 51,L,away,1662220800,https://media-3.api-sports.io/american-football/teams/116.png
2022-09-10,colorado state,middle tennessee,34 - 19,L,home,1662840000,https://media-2.api-sports.io/american-football/teams/116.png
2022-09-17,colorado state,washington state,7 - 38,L,away,1663448400,https://media-2.api-sports.io/american-football/teams/116.png
2022-09-24,colorado state,sacramento state,41 - 10,L,home,1664049600,https://media-3.api-sports.io/american-football/teams/116.png
2022-10-07,colorado state,nevada,17 - 14,W,away,1665109800,https://media-1.api-sports.io/american-football/teams/116.png
2022-10-15,colorado state,utah state,17 - 13,L,home,1665874800,https://media-3.api-sports.io/american-football/teams/116.png
2022-10-22,colorado state,hawai'i,13 - 17,W,home,1666468800,https://media-1.api-sports.io/american-football/teams/116.png
2022-10-29,colorado state,boise state,10 - 49,L,away,1667084400,https://media-1.api-sports.io/american-football/teams/116.png
2022-11-05,colorado state,san josé state,16 - 28,L,away,1667615400,https://media-3.api-sports.io/american-football/teams/116.png
2022-11-12,colorado state,wyoming,14 - 13,L,home,1668211200,https://media-3.api-sports.io/american-football/teams/116.png
2022-11-19,colorado state,air force,12 - 24,L,away,1668823200,https://media-1.api-sports.io/american-football/teams/116.png
2022-11-25,colorado state,new mexico,0 - 17,W,home,1669408200,https://media-3.api-sports.io/american-football/teams/116.png
