Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-17,dartmouth,valparaiso,13 - 35,W,home,1663435800,https://media-2.api-sports.io/american-football/teams/327.png
2022-09-24,dartmouth,sacred heart,31 - 38,L,away,1664042400,https://media-2.api-sports.io/american-football/teams/327.png
2022-09-30,dartmouth,pennsylvania,23 - 17,L,home,1664578800,https://media-2.api-sports.io/american-football/teams/327.png
2022-10-08,dartmouth,yale,21 - 24,L,away,1665244800,https://media-1.api-sports.io/american-football/teams/327.png
2022-10-15,dartmouth,new hampshire,14 - 0,L,home,1665855000,https://media-1.api-sports.io/american-football/teams/327.png
2022-10-22,dartmouth,columbia,27 - 24,W,away,1666459800,https://media-1.api-sports.io/american-football/teams/327.png
2022-10-29,dartmouth,harvard,28 - 13,L,home,1667064600,https://media-3.api-sports.io/american-football/teams/327.png
2022-11-05,dartmouth,princeton,14 - 17,L,away,1667667600,https://media-2.api-sports.io/american-football/teams/327.png
2022-11-12,dartmouth,cornell,13 - 17,L,away,1668276000,https://media-1.api-sports.io/american-football/teams/327.png
2022-11-19,dartmouth,brown,7 - 30,W,home,1668882600,https://media-1.api-sports.io/american-football/teams/327.png
