Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,delaware,navy,14 - 7,W,away,1662220800,https://media-1.api-sports.io/american-football/teams/146.png
2022-09-10,delaware,delaware state,9 - 35,W,home,1662847200,https://media-3.api-sports.io/american-football/teams/146.png
2022-09-17,delaware,rhode island,42 - 21,W,away,1663434000,https://media-1.api-sports.io/american-football/teams/146.png
2022-09-24,delaware,hampton,3 - 35,W,home,1664056800,https://media-2.api-sports.io/american-football/teams/146.png
2022-10-01,delaware,towson,10 - 24,W,home,1664652600,https://media-1.api-sports.io/american-football/teams/146.png
2022-10-08,delaware,william & mary,21 - 27,L,away,1665257400,https://media-3.api-sports.io/american-football/teams/146.png
2022-10-22,delaware,morgan state,7 - 38,W,home,1666465200,https://media-1.api-sports.io/american-football/teams/146.png
2022-10-29,delaware,elon,7 - 27,L,away,1667071800,https://media-2.api-sports.io/american-football/teams/146.png
2022-11-05,delaware,monmouth,17 - 49,W,home,1667667600,https://media-1.api-sports.io/american-football/teams/146.png
2022-11-12,delaware,richmond,21 - 13,L,home,1668276000,https://media-2.api-sports.io/american-football/teams/146.png
2022-11-19,delaware,villanova,26 - 29,L,away,1668880800,https://media-3.api-sports.io/american-football/teams/146.png
2022-11-26,delaware,st. francis (pa),17 - 56,W,home,1669489200,https://media-3.api-sports.io/american-football/teams/146.png
2022-12-03,delaware,south dakota state,6 - 42,L,away,1670097600,https://media-2.api-sports.io/american-football/teams/146.png
