Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,duke,temple,0 - 30,W,home,1662161400,https://media-1.api-sports.io/american-football/teams/99.png
2022-09-10,duke,northwestern,31 - 23,W,away,1662825600,https://media-3.api-sports.io/american-football/teams/99.png
2022-09-17,duke,north carolina a&t,20 - 49,W,home,1663452000,https://media-1.api-sports.io/american-football/teams/99.png
2022-09-24,duke,kansas,27 - 35,L,away,1664035200,https://media-1.api-sports.io/american-football/teams/99.png
2022-10-01,duke,virginia,17 - 38,W,home,1664667000,https://media-1.api-sports.io/american-football/teams/99.png
2022-10-08,duke,georgia tech,20 - 23,L,away,1665259200,https://media-1.api-sports.io/american-football/teams/99.png
2022-10-15,duke,north carolina,38 - 35,L,home,1665792000,https://media-2.api-sports.io/american-football/teams/99.png
2022-10-22,duke,miami,45 - 21,W,away,1666456200,https://media-1.api-sports.io/american-football/teams/99.png
2022-11-04,duke,boston college,38 - 31,W,away,1667602800,https://media-2.api-sports.io/american-football/teams/99.png
2022-11-12,duke,virginia tech,7 - 24,W,home,1668272400,https://media-2.api-sports.io/american-football/teams/99.png
2022-11-19,duke,pittsburgh,26 - 28,L,away,1668877200,https://media-3.api-sports.io/american-football/teams/99.png
2022-11-26,duke,wake forest,31 - 34,W,home,1669494600,https://media-1.api-sports.io/american-football/teams/99.png
2022-12-28,duke,ucf,13 - 30,W,home,1672254000,https://media-2.api-sports.io/american-football/teams/99.png
