Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-27,duquesne,florida state,7 - 47,L,away,1661634000,https://media-2.api-sports.io/american-football/teams/50.png
2022-09-03,duquesne,youngstown state,14 - 31,L,away,1662228000,https://media-1.api-sports.io/american-football/teams/50.png
2022-09-10,duquesne,thomas more college,14 - 34,W,home,1662825600,https://media-1.api-sports.io/american-football/teams/50.png
2022-09-17,duquesne,hawai'i,14 - 24,L,away,1663387140,https://media-3.api-sports.io/american-football/teams/50.png
2022-10-01,duquesne,stonehill,20 - 24,L,away,1664640000,https://media-3.api-sports.io/american-football/teams/50.png
2022-10-08,duquesne,merrimack,28 - 21,L,home,1665248400,https://media-3.api-sports.io/american-football/teams/50.png
2022-10-22,duquesne,central connecticut,30 - 6,W,away,1666454400,https://media-1.api-sports.io/american-football/teams/50.png
2022-10-29,duquesne,long island university,50 - 48,L,home,1667059200,https://media-3.api-sports.io/american-football/teams/50.png
2022-11-05,duquesne,sacred heart,28 - 35,W,home,1667664000,https://media-3.api-sports.io/american-football/teams/50.png
2022-11-12,duquesne,st. francis (pa),14 - 51,L,away,1668272400,https://media-2.api-sports.io/american-football/teams/50.png
2022-11-19,duquesne,wagner,0 - 33,W,home,1668877200,https://media-2.api-sports.io/american-football/teams/50.png
