Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,eastern illinois,northern illinois,27 - 34,L,away,1661990400,https://media-1.api-sports.io/american-football/teams/80.png
2022-09-10,eastern illinois,chattanooga,38 - 20,L,home,1662850800,https://media-1.api-sports.io/american-football/teams/80.png
2022-09-17,eastern illinois,illinois state,7 - 35,L,away,1663457400,https://media-3.api-sports.io/american-football/teams/80.png
2022-09-24,eastern illinois,murray state,35 - 21,W,away,1664053200,https://media-1.api-sports.io/american-football/teams/80.png
2022-10-08,eastern illinois,northwestern state,27 - 35,W,home,1665255600,https://media-1.api-sports.io/american-football/teams/80.png
2022-10-15,eastern illinois,lindenwood,37 - 34,L,home,1665860400,https://media-1.api-sports.io/american-football/teams/80.png
2022-10-22,eastern illinois,tennessee state,17 - 37,L,away,1666465200,https://media-1.api-sports.io/american-football/teams/80.png
2022-10-29,eastern illinois,tennessee tech,20 - 17,L,home,1667070000,https://media-3.api-sports.io/american-football/teams/80.png
2022-11-05,eastern illinois,mcneese,15 - 29,L,away,1667606400,https://media-2.api-sports.io/american-football/teams/80.png
2022-11-12,eastern illinois,southeast missouri state,31 - 7,L,home,1668283200,https://media-2.api-sports.io/american-football/teams/80.png
2022-11-19,eastern illinois,ut martin,31 - 34,L,away,1668888000,https://media-3.api-sports.io/american-football/teams/80.png
