Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,eastern michigan,eastern kentucky,34 - 42,W,home,1662159600,https://media-2.api-sports.io/american-football/teams/94.png
2022-09-10,eastern michigan,louisiana,21 - 49,L,away,1662850800,https://media-3.api-sports.io/american-football/teams/94.png
2022-09-17,eastern michigan,arizona state,30 - 21,W,away,1663383600,https://media-2.api-sports.io/american-football/teams/94.png
2022-09-24,eastern michigan,buffalo state,50 - 31,L,home,1664035200,https://media-3.api-sports.io/american-football/teams/94.png
2022-10-01,eastern michigan,umass,13 - 20,W,home,1664647200,https://media-1.api-sports.io/american-football/teams/94.png
2022-10-08,eastern michigan,western michigan,45 - 23,W,away,1665244800,https://media-3.api-sports.io/american-football/teams/94.png
2022-10-15,eastern michigan,northern illinois,39 - 10,L,home,1665862200,https://media-1.api-sports.io/american-football/teams/94.png
2022-10-22,eastern michigan,ball state,20 - 16,W,away,1666461600,https://media-3.api-sports.io/american-football/teams/94.png
2022-10-29,eastern michigan,toledo,27 - 24,L,home,1667059200,https://media-3.api-sports.io/american-football/teams/94.png
2022-11-08,eastern michigan,akron,34 - 28,W,away,1667865600,https://media-3.api-sports.io/american-football/teams/94.png
2022-11-16,eastern michigan,kent state,31 - 24,W,away,1668639600,https://media-1.api-sports.io/american-football/teams/94.png
2022-11-25,eastern michigan,central michigan,19 - 38,W,home,1669395600,https://media-2.api-sports.io/american-football/teams/94.png
2022-12-20,eastern michigan,san josé state,41 - 27,W,away,1671568200,https://media-2.api-sports.io/american-football/teams/94.png
