Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,fordham,wagner,48 - 31,W,away,1662069600,https://media-2.api-sports.io/american-football/teams/257.png
2022-09-10,fordham,monmouth,52 - 49,W,away,1662829200,https://media-3.api-sports.io/american-football/teams/257.png
2022-09-17,fordham,albany,45 - 48,W,home,1663434000,https://media-1.api-sports.io/american-football/teams/257.png
2022-09-24,fordham,ohio,52 - 59,L,away,1664042400,https://media-2.api-sports.io/american-football/teams/257.png
2022-10-01,fordham,georgetown,38 - 59,W,home,1664643600,https://media-2.api-sports.io/american-football/teams/257.png
2022-10-08,fordham,lehigh,40 - 28,W,away,1665244800,https://media-1.api-sports.io/american-football/teams/257.png
2022-10-15,fordham,stony brook,14 - 45,W,home,1665871200,https://media-3.api-sports.io/american-football/teams/257.png
2022-10-29,fordham,holy cross,52 - 53,L,away,1667062800,https://media-3.api-sports.io/american-football/teams/257.png
2022-11-05,fordham,bucknell,59 - 17,W,away,1667667600,https://media-2.api-sports.io/american-football/teams/257.png
2022-11-12,fordham,lafayette,10 - 45,W,home,1668276000,https://media-3.api-sports.io/american-football/teams/257.png
2022-11-19,fordham,colgate,38 - 52,W,home,1668880800,https://media-2.api-sports.io/american-football/teams/257.png
2022-11-26,fordham,new hampshire,42 - 52,L,away,1669489200,https://media-3.api-sports.io/american-football/teams/257.png
