Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,fresno state,cal poly,7 - 35,W,home,1661999400,https://media-1.api-sports.io/american-football/teams/88.png
2022-09-10,fresno state,oregon state,35 - 32,L,home,1662777000,https://media-3.api-sports.io/american-football/teams/88.png
2022-09-17,fresno state,usc,17 - 45,L,away,1663381800,https://media-3.api-sports.io/american-football/teams/88.png
2022-10-01,fresno state,uconn,14 - 19,L,away,1664652600,https://media-3.api-sports.io/american-football/teams/88.png
2022-10-08,fresno state,boise state,20 - 40,L,away,1665193500,https://media-1.api-sports.io/american-football/teams/88.png
2022-10-15,fresno state,san josé state,10 - 17,W,home,1665801900,https://media-1.api-sports.io/american-football/teams/88.png
2022-10-22,fresno state,new mexico,41 - 9,W,away,1666477800,https://media-3.api-sports.io/american-football/teams/88.png
2022-10-29,fresno state,san diego state,28 - 32,W,home,1667010600,https://media-1.api-sports.io/american-football/teams/88.png
2022-11-05,fresno state,hawai'i,13 - 55,W,home,1667615400,https://media-2.api-sports.io/american-football/teams/88.png
2022-11-11,fresno state,unlv,37 - 30,W,away,1668137400,https://media-1.api-sports.io/american-football/teams/88.png
2022-11-19,fresno state,nevada,41 - 14,W,away,1668828600,https://media-1.api-sports.io/american-football/teams/88.png
2022-11-25,fresno state,wyoming,0 - 30,W,home,1669345200,https://media-3.api-sports.io/american-football/teams/88.png
2022-12-03,fresno state,boise state,28 - 16,W,away,1670101200,https://media-2.api-sports.io/american-football/teams/88.png
2022-12-17,fresno state,washington state,6 - 29,W,home,1671309000,https://media-1.api-sports.io/american-football/teams/88.png
