Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,gardner-webb,limestone,21 - 56,W,home,1662073200,https://media-1.api-sports.io/american-football/teams/225.png
2022-09-10,gardner-webb,coastal carolina,27 - 31,L,away,1662847200,https://media-2.api-sports.io/american-football/teams/225.png
2022-09-17,gardner-webb,elon,24 - 30,L,away,1663452000,https://media-2.api-sports.io/american-football/teams/225.png
2022-09-24,gardner-webb,mercer,45 - 14,L,home,1664056800,https://media-1.api-sports.io/american-football/teams/225.png
2022-10-01,gardner-webb,marshall,7 - 28,L,away,1664652600,https://media-2.api-sports.io/american-football/teams/225.png
2022-10-08,gardner-webb,robert morris,48 - 0,W,away,1665244800,https://media-2.api-sports.io/american-football/teams/225.png
2022-10-15,gardner-webb,liberty,20 - 21,L,away,1665862200,https://media-2.api-sports.io/american-football/teams/225.png
2022-10-22,gardner-webb,charleston southern,28 - 14,W,away,1666476000,https://media-3.api-sports.io/american-football/teams/225.png
2022-10-29,gardner-webb,bryant,40 - 48,W,home,1667064600,https://media-1.api-sports.io/american-football/teams/225.png
2022-11-12,gardner-webb,campbell,42 - 35,W,away,1668276000,https://media-3.api-sports.io/american-football/teams/225.png
2022-11-19,gardner-webb,north carolina a&t,17 - 38,W,home,1668877200,https://media-1.api-sports.io/american-football/teams/225.png
2022-11-26,gardner-webb,eastern kentucky,52 - 41,W,away,1669500000,https://media-1.api-sports.io/american-football/teams/225.png
2022-12-03,gardner-webb,william & mary,14 - 54,L,away,1670094000,https://media-1.api-sports.io/american-football/teams/225.png
