Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,georgia southern,morgan state,7 - 59,W,home,1662242400,https://media-1.api-sports.io/american-football/teams/166.png
2022-09-10,georgia southern,nebraska,45 - 42,W,away,1662852600,https://media-1.api-sports.io/american-football/teams/166.png
2022-09-17,georgia southern,uab,21 - 35,L,away,1663443000,https://media-3.api-sports.io/american-football/teams/166.png
2022-09-24,georgia southern,ball state,23 - 34,W,home,1664056800,https://media-2.api-sports.io/american-football/teams/166.png
2022-10-01,georgia southern,coastal carolina,30 - 34,L,away,1664665200,https://media-1.api-sports.io/american-football/teams/166.png
2022-10-08,georgia southern,georgia state,33 - 41,L,away,1665252000,https://media-3.api-sports.io/american-football/teams/166.png
2022-10-15,georgia southern,james madison,38 - 45,W,home,1665864000,https://media-1.api-sports.io/american-football/teams/166.png
2022-10-22,georgia southern,old dominion,28 - 23,W,away,1666467000,https://media-3.api-sports.io/american-football/teams/166.png
2022-11-05,georgia southern,south alabama,38 - 31,L,home,1667678400,https://media-3.api-sports.io/american-football/teams/166.png
2022-11-10,georgia southern,louisiana,17 - 36,L,away,1668040200,https://media-3.api-sports.io/american-football/teams/166.png
2022-11-19,georgia southern,marshall,23 - 10,L,home,1668898800,https://media-2.api-sports.io/american-football/teams/166.png
2022-11-26,georgia southern,appalachian state,48 - 51,W,home,1669503600,https://media-3.api-sports.io/american-football/teams/166.png
2022-12-27,georgia southern,buffalo state,21 - 23,L,away,1672160400,https://media-3.api-sports.io/american-football/teams/166.png
