Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-16,harvard,merrimack,21 - 28,W,home,1663369200,https://media-2.api-sports.io/american-football/teams/321.png
2022-09-24,harvard,brown,35 - 28,W,away,1664037000,https://media-2.api-sports.io/american-football/teams/321.png
2022-10-01,harvard,holy cross,30 - 21,L,home,1664643600,https://media-2.api-sports.io/american-football/teams/321.png
2022-10-07,harvard,cornell,35 - 28,W,away,1665183600,https://media-1.api-sports.io/american-football/teams/321.png
2022-10-15,harvard,howard,41 - 25,W,away,1665864000,https://media-3.api-sports.io/american-football/teams/321.png
2022-10-21,harvard,princeton,37 - 10,L,home,1666393200,https://media-1.api-sports.io/american-football/teams/321.png
2022-10-29,harvard,dartmouth,28 - 13,W,away,1667064600,https://media-1.api-sports.io/american-football/teams/321.png
2022-11-05,harvard,columbia,21 - 20,L,home,1667667600,https://media-2.api-sports.io/american-football/teams/321.png
2022-11-12,harvard,pennsylvania,37 - 14,W,away,1668276000,https://media-1.api-sports.io/american-football/teams/321.png
2022-11-19,harvard,yale,19 - 14,L,home,1668877200,https://media-1.api-sports.io/american-football/teams/321.png
