Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-27,hawai'i,vanderbilt,63 - 10,L,home,1661567400,https://media-1.api-sports.io/american-football/teams/59.png
2022-09-03,hawai'i,western kentucky,49 - 17,L,home,1662177540,https://media-3.api-sports.io/american-football/teams/59.png
2022-09-10,hawai'i,michigan,10 - 56,L,away,1662768000,https://media-2.api-sports.io/american-football/teams/59.png
2022-09-17,hawai'i,duquesne,14 - 24,W,home,1663387140,https://media-3.api-sports.io/american-football/teams/59.png
2022-09-24,hawai'i,new mexico state,26 - 45,L,away,1663977600,https://media-3.api-sports.io/american-football/teams/59.png
2022-10-08,hawai'i,san diego state,14 - 16,L,away,1665196200,https://media-3.api-sports.io/american-football/teams/59.png
2022-10-15,hawai'i,nevada,16 - 31,W,home,1665806340,https://media-3.api-sports.io/american-football/teams/59.png
2022-10-22,hawai'i,colorado state,13 - 17,L,away,1666468800,https://media-3.api-sports.io/american-football/teams/59.png
2022-10-29,hawai'i,wyoming,27 - 20,L,home,1667015940,https://media-3.api-sports.io/american-football/teams/59.png
2022-11-05,hawai'i,fresno state,13 - 55,L,away,1667615400,https://media-2.api-sports.io/american-football/teams/59.png
2022-11-12,hawai'i,utah state,41 - 34,L,home,1668225600,https://media-1.api-sports.io/american-football/teams/59.png
2022-11-19,hawai'i,unlv,25 - 31,W,home,1668830400,https://media-2.api-sports.io/american-football/teams/59.png
2022-11-26,hawai'i,san josé state,14 - 27,L,away,1669494600,https://media-3.api-sports.io/american-football/teams/59.png
