Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,houston,utsa,37 - 35,W,away,1662233400,https://media-3.api-sports.io/american-football/teams/134.png
2022-09-10,houston,texas tech,30 - 33,L,away,1662840000,https://media-1.api-sports.io/american-football/teams/134.png
2022-09-17,houston,kansas,48 - 30,L,home,1663444800,https://media-1.api-sports.io/american-football/teams/134.png
2022-09-24,houston,jerry rice team,27 - 34,W,home,1664056800,https://media-2.api-sports.io/american-football/teams/134.png
2022-09-30,houston,tulane,27 - 24,L,home,1664578800,https://media-3.api-sports.io/american-football/teams/134.png
2022-10-07,houston,memphis,33 - 32,W,away,1665185400,https://media-3.api-sports.io/american-football/teams/134.png
2022-10-22,houston,navy,38 - 20,W,away,1666454400,https://media-2.api-sports.io/american-football/teams/134.png
2022-10-29,houston,south florida,27 - 42,W,home,1667059200,https://media-2.api-sports.io/american-football/teams/134.png
2022-11-05,houston,smu,63 - 77,L,away,1667689200,https://media-2.api-sports.io/american-football/teams/134.png
2022-11-12,houston,temple,36 - 43,W,home,1668283200,https://media-3.api-sports.io/american-football/teams/134.png
2022-11-19,houston,east carolina,42 - 3,W,away,1668884400,https://media-1.api-sports.io/american-football/teams/134.png
2022-11-26,houston,tulsa,37 - 30,L,home,1669422600,https://media-3.api-sports.io/american-football/teams/134.png
2022-12-23,houston,louisiana,16 - 23,W,home,1671825600,https://media-3.api-sports.io/american-football/teams/134.png
