Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,iowa state,southeast missouri state,10 - 42,W,home,1662228000,https://media-2.api-sports.io/american-football/teams/151.png
2022-09-10,iowa state,iowa,10 - 7,W,away,1662840000,https://media-3.api-sports.io/american-football/teams/151.png
2022-09-17,iowa state,ohio,10 - 43,W,home,1663437600,https://media-1.api-sports.io/american-football/teams/151.png
2022-09-24,iowa state,baylor,31 - 24,L,home,1664035200,https://media-1.api-sports.io/american-football/teams/151.png
2022-10-01,iowa state,kansas,11 - 14,L,away,1664652600,https://media-1.api-sports.io/american-football/teams/151.png
2022-10-08,iowa state,kansas state,10 - 9,L,home,1665271800,https://media-3.api-sports.io/american-football/teams/151.png
2022-10-15,iowa state,texas,21 - 24,L,away,1665849600,https://media-2.api-sports.io/american-football/teams/151.png
2022-10-29,iowa state,oklahoma,27 - 13,L,home,1667059200,https://media-2.api-sports.io/american-football/teams/151.png
2022-11-05,iowa state,west virginia,14 - 31,W,home,1667676600,https://media-1.api-sports.io/american-football/teams/151.png
2022-11-12,iowa state,oklahoma state,14 - 20,L,away,1668285000,https://media-1.api-sports.io/american-football/teams/151.png
2022-11-19,iowa state,texas tech,14 - 10,L,home,1668816000,https://media-1.api-sports.io/american-football/teams/151.png
2022-11-26,iowa state,tcu,14 - 62,L,away,1669496400,https://media-2.api-sports.io/american-football/teams/151.png
