Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,james madison,middle tennessee,7 - 44,W,home,1662242400,https://media-2.api-sports.io/american-football/teams/169.png
2022-09-10,james madison,norfolk state,7 - 63,W,home,1662840000,https://media-3.api-sports.io/american-football/teams/169.png
2022-09-24,james madison,appalachian state,32 - 28,W,away,1664047800,https://media-1.api-sports.io/american-football/teams/169.png
2022-10-01,james madison,texas state,13 - 40,W,home,1664645400,https://media-3.api-sports.io/american-football/teams/169.png
2022-10-08,james madison,arkansas state,42 - 20,W,away,1665270000,https://media-3.api-sports.io/american-football/teams/169.png
2022-10-15,james madison,georgia southern,38 - 45,L,away,1665864000,https://media-1.api-sports.io/american-football/teams/169.png
2022-10-22,james madison,marshall,26 - 12,L,home,1666467000,https://media-1.api-sports.io/american-football/teams/169.png
2022-11-05,james madison,louisville,10 - 34,L,away,1667691000,https://media-1.api-sports.io/american-football/teams/169.png
2022-11-12,james madison,old dominion,37 - 3,W,away,1668276000,https://media-3.api-sports.io/american-football/teams/169.png
2022-11-19,james madison,georgia state,40 - 42,W,home,1668884400,https://media-2.api-sports.io/american-football/teams/169.png
2022-11-26,james madison,coastal carolina,7 - 47,W,home,1669482000,https://media-2.api-sports.io/american-football/teams/169.png
