Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,kansas,tennessee tech,10 - 56,W,home,1662076800,https://media-1.api-sports.io/american-football/teams/101.png
2022-09-10,kansas,west virginia,55 - 42,W,away,1662847200,https://media-2.api-sports.io/american-football/teams/101.png
2022-09-17,kansas,houston,48 - 30,W,away,1663444800,https://media-3.api-sports.io/american-football/teams/101.png
2022-09-24,kansas,duke,27 - 35,W,home,1664035200,https://media-3.api-sports.io/american-football/teams/101.png
2022-10-01,kansas,iowa state,11 - 14,W,home,1664652600,https://media-3.api-sports.io/american-football/teams/101.png
2022-10-08,kansas,tcu,38 - 31,L,home,1665244800,https://media-2.api-sports.io/american-football/teams/101.png
2022-10-15,kansas,oklahoma,42 - 52,L,away,1665849600,https://media-3.api-sports.io/american-football/teams/101.png
2022-10-22,kansas,baylor,23 - 35,L,away,1666454400,https://media-3.api-sports.io/american-football/teams/101.png
2022-11-05,kansas,oklahoma state,16 - 37,W,home,1667676600,https://media-1.api-sports.io/american-football/teams/101.png
2022-11-12,kansas,texas tech,28 - 43,L,away,1668211200,https://media-1.api-sports.io/american-football/teams/101.png
2022-11-19,kansas,texas,55 - 14,L,home,1668889800,https://media-3.api-sports.io/american-football/teams/101.png
2022-11-26,kansas,kansas state,27 - 47,L,away,1669424400,https://media-1.api-sports.io/american-football/teams/101.png
2022-12-28,kansas,arkansas,53 - 55,L,away,1672266600,https://media-1.api-sports.io/american-football/teams/101.png
