Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,kent state,washington,20 - 45,L,away,1662172200,https://media-1.api-sports.io/american-football/teams/206.png
2022-09-10,kent state,oklahoma,3 - 33,L,away,1662850800,https://media-2.api-sports.io/american-football/teams/206.png
2022-09-17,kent state,long island university,10 - 63,W,home,1663430400,https://media-3.api-sports.io/american-football/teams/206.png
2022-09-24,kent state,georgia,22 - 39,L,away,1664035200,https://media-2.api-sports.io/american-football/teams/206.png
2022-10-01,kent state,ohio,24 - 31,W,home,1664652600,https://media-3.api-sports.io/american-football/teams/206.png
2022-10-08,kent state,miami (oh),24 - 27,L,away,1665257400,https://media-1.api-sports.io/american-football/teams/206.png
2022-10-15,kent state,toledo,31 - 52,L,away,1665862200,https://media-1.api-sports.io/american-football/teams/206.png
2022-10-22,kent state,akron,27 - 33,W,home,1666454400,https://media-2.api-sports.io/american-football/teams/206.png
2022-11-01,kent state,ball state,27 - 20,L,home,1667343600,https://media-1.api-sports.io/american-football/teams/206.png
2022-11-09,kent state,bowling green,40 - 6,W,away,1667952000,https://media-2.api-sports.io/american-football/teams/206.png
2022-11-16,kent state,eastern michigan,31 - 24,L,home,1668639600,https://media-3.api-sports.io/american-football/teams/206.png
2022-11-26,kent state,buffalo state,30 - 27,W,away,1669485600,https://media-3.api-sports.io/american-football/teams/206.png
