Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,kentucky,miami (oh),13 - 37,W,home,1662246000,https://media-2.api-sports.io/american-football/teams/129.png
2022-09-10,kentucky,florida,26 - 16,W,away,1662850800,https://media-3.api-sports.io/american-football/teams/129.png
2022-09-17,kentucky,youngstown state,0 - 31,W,home,1663430400,https://media-1.api-sports.io/american-football/teams/129.png
2022-09-24,kentucky,northern illinois,23 - 31,W,home,1664060400,https://media-3.api-sports.io/american-football/teams/129.png
2022-10-01,kentucky,ole miss,19 - 22,L,away,1664640000,https://media-3.api-sports.io/american-football/teams/129.png
2022-10-08,kentucky,south carolina,24 - 14,L,home,1665271800,https://media-1.api-sports.io/american-football/teams/129.png
2022-10-15,kentucky,mississippi state,17 - 27,W,home,1665876600,https://media-2.api-sports.io/american-football/teams/129.png
2022-10-29,kentucky,tennessee,6 - 44,L,away,1667084400,https://media-1.api-sports.io/american-football/teams/129.png
2022-11-05,kentucky,missouri,21 - 17,W,away,1667664000,https://media-3.api-sports.io/american-football/teams/129.png
2022-11-12,kentucky,vanderbilt,24 - 21,L,home,1668272400,https://media-2.api-sports.io/american-football/teams/129.png
2022-11-19,kentucky,georgia,16 - 6,L,home,1668889800,https://media-2.api-sports.io/american-football/teams/129.png
2022-11-26,kentucky,louisville,13 - 26,W,home,1669492800,https://media-1.api-sports.io/american-football/teams/129.png
2022-12-31,kentucky,iowa,21 - 0,L,home,1672506000,https://media-1.api-sports.io/american-football/teams/129.png
