Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,lehigh,villanova,17 - 45,L,away,1662156000,https://media-2.api-sports.io/american-football/teams/275.png
2022-09-10,lehigh,georgetown,21 - 19,W,away,1662843600,https://media-3.api-sports.io/american-football/teams/275.png
2022-09-17,lehigh,richmond,30 - 6,L,home,1663430400,https://media-3.api-sports.io/american-football/teams/275.png
2022-09-24,lehigh,princeton,17 - 29,L,away,1664046000,https://media-3.api-sports.io/american-football/teams/275.png
2022-10-01,lehigh,monmouth,35 - 7,L,home,1664640000,https://media-1.api-sports.io/american-football/teams/275.png
2022-10-08,lehigh,fordham,40 - 28,L,home,1665244800,https://media-1.api-sports.io/american-football/teams/275.png
2022-10-15,lehigh,cornell,15 - 19,L,away,1665853200,https://media-1.api-sports.io/american-football/teams/275.png
2022-10-22,lehigh,bucknell,19 - 17,L,home,1666454400,https://media-2.api-sports.io/american-football/teams/275.png
2022-11-05,lehigh,holy cross,14 - 42,L,away,1667664000,https://media-3.api-sports.io/american-football/teams/275.png
2022-11-12,lehigh,colgate,33 - 36,W,home,1668272400,https://media-2.api-sports.io/american-football/teams/275.png
2022-11-19,lehigh,lafayette,11 - 14,L,away,1668879000,https://media-3.api-sports.io/american-football/teams/275.png
