Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-10,lindenwood,houston christian,21 - 20,W,away,1662850800,https://media-1.api-sports.io/american-football/teams/316.png
2022-09-17,lindenwood,keiser university,3 - 37,W,home,1663455600,https://media-2.api-sports.io/american-football/teams/316.png
2022-09-24,lindenwood,ut martin,26 - 56,L,away,1664060400,https://media-2.api-sports.io/american-football/teams/316.png
2022-10-01,lindenwood,southeast missouri state,49 - 28,L,home,1664647200,https://media-3.api-sports.io/american-football/teams/316.png
2022-10-08,lindenwood,central arkansas,52 - 49,W,away,1665262800,https://media-1.api-sports.io/american-football/teams/316.png
2022-10-15,lindenwood,eastern illinois,37 - 34,W,away,1665860400,https://media-3.api-sports.io/american-football/teams/316.png
2022-10-22,lindenwood,murray state,18 - 33,W,home,1666461600,https://media-2.api-sports.io/american-football/teams/316.png
2022-10-29,lindenwood,william jewell college,23 - 64,W,home,1667066400,https://media-2.api-sports.io/american-football/teams/316.png
2022-11-05,lindenwood,tennessee tech,34 - 35,L,away,1667673000,https://media-1.api-sports.io/american-football/teams/316.png
2022-11-12,lindenwood,mckendree,35 - 63,W,home,1668279600,https://media-1.api-sports.io/american-football/teams/316.png
