Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,louisiana,se louisiana,7 - 24,W,home,1662246000,https://media-3.api-sports.io/american-football/teams/182.png
2022-09-10,louisiana,eastern michigan,21 - 49,W,home,1662850800,https://media-1.api-sports.io/american-football/teams/182.png
2022-09-17,louisiana,jerry rice team,21 - 33,L,away,1663457400,https://media-1.api-sports.io/american-football/teams/182.png
2022-09-24,louisiana,ul monroe,17 - 21,L,away,1663977600,https://media-3.api-sports.io/american-football/teams/182.png
2022-10-01,louisiana,south alabama,20 - 17,L,home,1664658000,https://media-3.api-sports.io/american-football/teams/182.png
2022-10-12,louisiana,marshall,23 - 13,W,away,1665617400,https://media-3.api-sports.io/american-football/teams/182.png
2022-10-22,louisiana,arkansas state,18 - 38,W,home,1666472400,https://media-3.api-sports.io/american-football/teams/182.png
2022-10-27,louisiana,southern miss,24 - 39,L,away,1666913400,https://media-1.api-sports.io/american-football/teams/182.png
2022-11-05,louisiana,troy,23 - 17,L,home,1667682000,https://media-3.api-sports.io/american-football/teams/182.png
2022-11-10,louisiana,georgia southern,17 - 36,W,home,1668040200,https://media-1.api-sports.io/american-football/teams/182.png
2022-11-19,louisiana,florida state,17 - 49,L,away,1668877200,https://media-3.api-sports.io/american-football/teams/182.png
2022-11-26,louisiana,texas state,41 - 13,W,away,1669500000,https://media-2.api-sports.io/american-football/teams/182.png
2022-12-23,louisiana,houston,16 - 23,L,away,1671825600,https://media-2.api-sports.io/american-football/teams/182.png
