Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-04,lsu,florida state,24 - 23,L,home,1662334200,https://media-3.api-sports.io/american-football/teams/207.png
2022-09-10,lsu,southern,17 - 65,W,home,1662852600,https://media-3.api-sports.io/american-football/teams/207.png
2022-09-17,lsu,mississippi state,16 - 31,W,home,1663452000,https://media-1.api-sports.io/american-football/teams/207.png
2022-09-24,lsu,new mexico,0 - 38,W,home,1664062200,https://media-2.api-sports.io/american-football/teams/207.png
2022-10-01,lsu,auburn,21 - 17,W,away,1664665200,https://media-2.api-sports.io/american-football/teams/207.png
2022-10-08,lsu,tennessee,40 - 13,L,home,1665244800,https://media-3.api-sports.io/american-football/teams/207.png
2022-10-15,lsu,florida,45 - 35,W,away,1665874800,https://media-3.api-sports.io/american-football/teams/207.png
2022-10-22,lsu,ole miss,20 - 45,W,home,1666467000,https://media-3.api-sports.io/american-football/teams/207.png
2022-11-05,lsu,alabama,31 - 32,W,home,1667689200,https://media-2.api-sports.io/american-football/teams/207.png
2022-11-12,lsu,arkansas,13 - 10,W,away,1668272400,https://media-3.api-sports.io/american-football/teams/207.png
2022-11-19,lsu,uab,10 - 41,W,home,1668823200,https://media-3.api-sports.io/american-football/teams/207.png
2022-11-26,lsu,texas a&m,23 - 38,L,away,1669420800,https://media-3.api-sports.io/american-football/teams/207.png
2022-12-03,lsu,georgia,30 - 50,L,away,1670101200,https://media-3.api-sports.io/american-football/teams/207.png
2023-01-02,lsu,purdue,63 - 7,W,away,1672682400,https://media-2.api-sports.io/american-football/teams/207.png
