Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,marist,georgetown,43 - 12,L,home,1662220800,https://media-1.api-sports.io/american-football/teams/278.png
2022-09-17,marist,columbia,38 - 3,L,home,1663452000,https://media-1.api-sports.io/american-football/teams/278.png
2022-09-24,marist,drake,30 - 25,W,away,1664042400,https://media-2.api-sports.io/american-football/teams/278.png
2022-10-01,marist,st. thomas - minnesota,38 - 24,L,home,1664640000,https://media-2.api-sports.io/american-football/teams/278.png
2022-10-08,marist,stetson,45 - 31,W,away,1665248400,https://media-3.api-sports.io/american-football/teams/278.png
2022-10-15,marist,dayton,24 - 7,L,home,1665849600,https://media-1.api-sports.io/american-football/teams/278.png
2022-10-22,marist,butler,10 - 31,L,away,1666458000,https://media-3.api-sports.io/american-football/teams/278.png
2022-10-29,marist,presbyterian,7 - 37,W,home,1667059200,https://media-2.api-sports.io/american-football/teams/278.png
2022-11-05,marist,morehead state,31 - 21,W,away,1667678400,https://media-3.api-sports.io/american-football/teams/278.png
2022-11-12,marist,valparaiso,45 - 24,L,home,1668272400,https://media-3.api-sports.io/american-football/teams/278.png
2022-11-19,marist,bucknell,13 - 24,L,away,1668880800,https://media-3.api-sports.io/american-football/teams/278.png
