Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,minnesota,new mexico state,0 - 38,W,home,1661994000,https://media-3.api-sports.io/american-football/teams/85.png
2022-09-10,minnesota,western illinois,10 - 62,W,home,1662825600,https://media-1.api-sports.io/american-football/teams/85.png
2022-09-17,minnesota,colorado,7 - 49,W,home,1663443000,https://media-1.api-sports.io/american-football/teams/85.png
2022-09-24,minnesota,michigan state,34 - 7,W,away,1664047800,https://media-1.api-sports.io/american-football/teams/85.png
2022-10-01,minnesota,purdue,20 - 10,L,home,1664640000,https://media-3.api-sports.io/american-football/teams/85.png
2022-10-15,minnesota,illinois,14 - 26,L,away,1665849600,https://media-2.api-sports.io/american-football/teams/85.png
2022-10-22,minnesota,penn state,17 - 45,L,away,1666481400,https://media-3.api-sports.io/american-football/teams/85.png
2022-10-29,minnesota,rutgers,0 - 31,W,home,1667068200,https://media-1.api-sports.io/american-football/teams/85.png
2022-11-05,minnesota,nebraska,20 - 13,W,away,1667664000,https://media-1.api-sports.io/american-football/teams/85.png
2022-11-12,minnesota,northwestern,3 - 31,W,home,1668285000,https://media-3.api-sports.io/american-football/teams/85.png
2022-11-19,minnesota,iowa,13 - 10,L,home,1668891600,https://media-3.api-sports.io/american-football/teams/85.png
2022-11-26,minnesota,wisconsin,23 - 16,W,away,1669494600,https://media-1.api-sports.io/american-football/teams/85.png
2022-12-29,minnesota,syracuse,20 - 28,W,home,1672340400,https://media-2.api-sports.io/american-football/teams/85.png
