Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,mississippi state,memphis,23 - 49,W,home,1662247800,https://media-3.api-sports.io/american-football/teams/186.png
2022-09-10,mississippi state,arizona,39 - 17,W,away,1662778800,https://media-3.api-sports.io/american-football/teams/186.png
2022-09-17,mississippi state,lsu,16 - 31,L,away,1663452000,https://media-1.api-sports.io/american-football/teams/186.png
2022-09-24,mississippi state,bowling green,14 - 45,W,home,1664035200,https://media-2.api-sports.io/american-football/teams/186.png
2022-10-01,mississippi state,texas a&m,24 - 42,W,home,1664654400,https://media-1.api-sports.io/american-football/teams/186.png
2022-10-08,mississippi state,arkansas,17 - 40,W,home,1665244800,https://media-1.api-sports.io/american-football/teams/186.png
2022-10-15,mississippi state,kentucky,17 - 27,L,away,1665876600,https://media-1.api-sports.io/american-football/teams/186.png
2022-10-22,mississippi state,alabama,6 - 30,L,away,1666479600,https://media-2.api-sports.io/american-football/teams/186.png
2022-11-05,mississippi state,auburn,33 - 39,W,home,1667691000,https://media-3.api-sports.io/american-football/teams/186.png
2022-11-12,mississippi state,georgia,45 - 19,L,home,1668211200,https://media-1.api-sports.io/american-football/teams/186.png
2022-11-19,mississippi state,east tennessee state,7 - 56,W,home,1668877200,https://media-1.api-sports.io/american-football/teams/186.png
2022-11-24,mississippi state,ole miss,24 - 22,W,away,1669248000,https://media-3.api-sports.io/american-football/teams/186.png
2023-01-02,mississippi state,illinois,19 - 10,W,away,1672678800,https://media-3.api-sports.io/american-football/teams/186.png
