Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,missouri,louisiana tech,24 - 52,W,home,1661990400,https://media-1.api-sports.io/american-football/teams/83.png
2022-09-10,missouri,kansas state,12 - 40,L,away,1662826500,https://media-2.api-sports.io/american-football/teams/83.png
2022-09-17,missouri,abilene christian,17 - 34,W,home,1663430400,https://media-1.api-sports.io/american-football/teams/83.png
2022-09-24,missouri,auburn,14 - 17,L,away,1664035200,https://media-3.api-sports.io/american-football/teams/83.png
2022-10-01,missouri,georgia,26 - 22,L,home,1664667000,https://media-3.api-sports.io/american-football/teams/83.png
2022-10-08,missouri,florida,17 - 24,L,away,1665244800,https://media-3.api-sports.io/american-football/teams/83.png
2022-10-22,missouri,vanderbilt,14 - 17,W,home,1666468800,https://media-2.api-sports.io/american-football/teams/83.png
2022-10-29,missouri,south carolina,23 - 10,W,away,1667073600,https://media-1.api-sports.io/american-football/teams/83.png
2022-11-05,missouri,kentucky,21 - 17,L,home,1667664000,https://media-2.api-sports.io/american-football/teams/83.png
2022-11-12,missouri,tennessee,24 - 66,L,away,1668272400,https://media-2.api-sports.io/american-football/teams/83.png
2022-11-19,missouri,new mexico state,14 - 45,W,home,1668817800,https://media-2.api-sports.io/american-football/teams/83.png
2022-11-25,missouri,arkansas,27 - 29,W,home,1669408200,https://media-3.api-sports.io/american-football/teams/83.png
2022-12-23,missouri,wake forest,27 - 17,L,home,1671838200,https://media-1.api-sports.io/american-football/teams/83.png
