Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,navy,delaware,14 - 7,L,home,1662220800,https://media-1.api-sports.io/american-football/teams/145.png
2022-09-10,navy,memphis,37 - 13,L,home,1662838200,https://media-1.api-sports.io/american-football/teams/145.png
2022-09-24,navy,east carolina,23 - 20,W,away,1664056800,https://media-1.api-sports.io/american-football/teams/145.png
2022-10-01,navy,air force,10 - 13,L,away,1664640000,https://media-1.api-sports.io/american-football/teams/145.png
2022-10-08,navy,tulsa,21 - 53,W,home,1665257400,https://media-2.api-sports.io/american-football/teams/145.png
2022-10-14,navy,smu,34 - 40,L,away,1665790200,https://media-1.api-sports.io/american-football/teams/145.png
2022-10-22,navy,houston,38 - 20,L,home,1666454400,https://media-1.api-sports.io/american-football/teams/145.png
2022-10-29,navy,temple,20 - 27,W,home,1667071800,https://media-3.api-sports.io/american-football/teams/145.png
2022-11-05,navy,cincinnati,10 - 20,L,away,1667678400,https://media-1.api-sports.io/american-football/teams/145.png
2022-11-12,navy,notre dame,35 - 32,L,home,1668272400,https://media-1.api-sports.io/american-football/teams/145.png
2022-11-19,navy,ucf,17 - 14,W,away,1668873600,https://media-3.api-sports.io/american-football/teams/145.png
2022-12-10,navy,army,17 - 20,L,away,1670702400,https://media-3.api-sports.io/american-football/teams/145.png
