Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,nc state,east carolina,21 - 20,W,away,1662220800,https://media-1.api-sports.io/american-football/teams/121.png
2022-09-10,nc state,charleston southern,3 - 55,W,home,1662827400,https://media-2.api-sports.io/american-football/teams/121.png
2022-09-17,nc state,texas tech,14 - 27,W,home,1663455600,https://media-2.api-sports.io/american-football/teams/121.png
2022-09-24,nc state,uconn,10 - 41,W,home,1664062200,https://media-3.api-sports.io/american-football/teams/121.png
2022-10-01,nc state,clemson,20 - 30,L,away,1664667000,https://media-1.api-sports.io/american-football/teams/121.png
2022-10-08,nc state,florida state,17 - 19,W,home,1665187200,https://media-2.api-sports.io/american-football/teams/121.png
2022-10-15,nc state,syracuse,9 - 24,L,away,1665862200,https://media-3.api-sports.io/american-football/teams/121.png
2022-10-27,nc state,virginia tech,21 - 22,W,home,1666913400,https://media-1.api-sports.io/american-football/teams/121.png
2022-11-05,nc state,wake forest,21 - 30,W,home,1667606400,https://media-2.api-sports.io/american-football/teams/121.png
2022-11-12,nc state,boston college,21 - 20,L,home,1668285000,https://media-2.api-sports.io/american-football/teams/121.png
2022-11-19,nc state,louisville,10 - 25,L,away,1668889800,https://media-1.api-sports.io/american-football/teams/121.png
2022-11-25,nc state,north carolina,30 - 27,W,away,1669408200,https://media-3.api-sports.io/american-football/teams/121.png
2022-12-30,nc state,maryland,16 - 12,L,home,1672419600,https://media-2.api-sports.io/american-football/teams/121.png
